vandrhrvst,gihkfvhftg,fmudlynlta,nemcnuuhyn
0.16,-0.0005,-0.4375,dougkihism
0.4215,mpzaspknta,hdsxpcinir,lebadnnthw
715,-618,-830,euwizcvpyr
CaT,-142,CaT,471
0.248,CAt,brleycxhvk,cat
-0.432,0.2235,0.008,asvlhhvmuu
931,wlnkumxztf,653,sdqpfrwlhv
cdzxnzkflc,xiuzgpjzqh,oslughxaor,-0.1275
liskxkthqb,-664,252,cAt
664,pkuvyvqmfe,adjgizjwzz,farlgwuakc
cat,argcfiwofh,0.03,dmnhzsbfng
xklwsixhdp,0.393,0.046,643
846,rmjwxwtffk,zwkqilshmz,273
caT,-127,-342,Dog
jwdwsjknil,CAT,CaT,ffvccenzds
vnigjqbiec,0.264,DoG,-713
dieexxdwcu,615,0.0125,-7
-0.0545,lmxnnfzfyf,0.16,icoljuoost
fxgqokjqhb,9,vjrbfgokql,0.3725
CaT,rqnpuulwha,jekaqrxsux,-0.304
CaT,dOG,0.1235,-0.4
0.14,Dog,-502,432
0.2325,-451,0.0235,699
znxqsynhve,CAt,hddpzhzsuo,cat
-0.477,0.162,-0.11,-748
0.409,hsltuidexm,-0.3705,-0.4885
jnshnxatjx,-0.1935,-801,CAT
nehbqflxbn,wphpfqbzbo,-0.0315,289
851,-0.093,-0.4035,zahpqvkcox
0.3105,0.0275,617,-118
-0.36,-0.1445,DOg,0.388
813,nimpjjarny,-0.0735,956
yxlhnujwxb,cAT,638,23
-55,doG,-529,-423
uznqzlkpve,hqijqymwfa,dbvdefjvlu,-0.446
qyzncswmnw,dfhpzaudoa,0.225,cuukieaqbm
-0.4345,0.291,-57,eowyzvzkxe
-0.025,-925,kjvdpwapwm,raquhluqxe
DoG,ktrvqmngrl,74,kolbaojfgx
-477,0.454,cAT,-338
0.1385,caT,gxwvyqkftw,0.091
qbeedvuakk,-974,0.491,gdivzdwevg
CAT,0.1335,cAT,-0.446
uehjonvhcc,-414,0.0425,zmknzadpjm
cAt,-260,anyzzrafnl,-0.3385
0.403,992,-0.3155,lqtcelowcl
qtcxprkorf,midhqssxjk,sthnrhxlsc,-198
-0.167,-949,-0.345,-789
0.4705,0.2145,bgqapzdltn,wvnioblnzn
cAT,-0.1595,0.0205,668
-0.0205,dOG,CAT,937
Dog,-0.0645,18,4
-0.3655,ctvyzxtpvd,pntnbyttjg,msxmmspgqq
-0.424,DOG,qasvyaolcw,solxpigelu
njyfbxbozt,xquynfeebv,485,-0.38
-0.432,0.0095,foqkhnjvcc,doG
souvgwykiq,189,415,-0.1505
obicnjyuea,dOg,ltvqmnzsih,nokclomzuf
DOg,jrkhecutqj,rtciamyifa,fdismfbmhb
0.342,-830,-317,faszwoafom
-0.2145,-123,CAt,adggxwijmk
275,tckajuetoj,86,wvccvflqgg
0.45,tjbprotifb,0.0895,-0.0655
tffucjmsaf,-0.3685,sgeukajhmn,0.46
DoG,-0.135,ddaolqdhbm,387
297,kjjnywvexu,ajeuzizrje,567
tyhobajxjf,0.176,hnpfywjmqj,0.32
wcjpgxehzh,dog,0.3335,908
0.236,Dog,cwzijahphj,dOg
ucenfltijs,DoG,sjjfcuemiu,0.2435
166,rucescrdaq,dog,0.1435
hhqwhcakmd,-306,CaT,-561
33,-0.466,-821,gpsgsbdkat
dOG,179,ifrpyaoycg,-0.233
DoG,-0.478,dog,kvdfpcxnws
dOg,-966,tqtzhteyeh,-64
0.481,caT,-507,gykvjhzkcj
0.134,cat,DoG,657
vrlywrzzwj,-0.209,kwcreqolvp,-0.2395
0.373,leibkkghta,mynxxqiwlj,-468
0.3495,-0.0515,317,Cat
-740,nxnepnuozs,-0.3675,thgfknmzch
825,814,-0.0205,-435
cAt,hkhzfzamll,mpmkwcngkd,zfovulxumy
dscylrkcws,Dog,0.424,ueqcohtjmk
fcfpjdthop,rrlwjflzoe,deiqvcqcem,100
0.3295,DoG,785,0.305
ymunvmiphn,gcndtzwtnm,qefhhiuffi,igwpqbfcaw
