vklyqbxweg,lhnpmcflbv,vuajhrueup,oosqupqive,oxiasdwkdq
DOg,-0.3835,jbhjezsqkr,lfwmqqzhgg,jopdnbuexk
-72,-0.047,-0.252,389,195
dog,-566,-982,0.395,845
-728,dog,npzcgxzliq,cqomwxgpnr,0.377
jbvfvehvhk,CAT,454,0.092,-0.4615
0.0175,cyphgrtyfm,0.2515,98,doG
tedigqwotb,0.131,Cat,-0.3915,cAT
-94,0.059,rnglklovak,dpwjtsjvlu,dog
37,aijrfcxfei,Dog,-269,-794
doG,oflaqqmgkg,cAt,deesglvpcw,-0.0645
dog,xecqiiolck,132,-763,-371
uoflwzcwwu,-170,-341,gxiyewudbx,CAt
DOg,dOg,-584,-0.2015,0.389
cat,746,DoG,506,0.0365
CaT,DoG,DOg,-0.1455,-0.105
538,-0.19,0.1375,caT,doG
445,naglhhklef,328,-0.4515,-0.3735
Cat,foqlltpxuf,-804,-0.2735,714
207,0.441,677,998,qpqnzkvfri
886,234,-0.023,0.1655,Cat
399,0.2715,pgszasblhu,-0.253,cat
753,899,49,qxosrdyyus,cat
-944,DOG,720,0.008,687
cAT,-695,mwciiggett,-204,-438
0.4035,0.496,Cat,157,-222
eepvnuwggo,egjsnbcgjx,70,-0.342,spwjslcqln
rgeyucoate,jcklwoxtpo,cdyshsmktp,ovkjsuzhjn,qdiowdzwvc
ypcofzgrgv,sazxitpaus,-0.317,Dog,623
117,-0.0595,489,caT,0.305
0.2385,-0.107,-392,-0.083,0.25
kjigtlnjao,doG,yziowchztp,ynsliwspee,941
