parlohknnk,wtjnupnqec,ibhijkjddq,iugnlzfcom,ecrduuhlvk
ijscukrpyn,647,-799,35,jxpdztflhm
tbtxzheivu,123,dog,0.07,-393
jefcdfgcbk,DOg,qgzmtuiqix,kgsjrrwjqb,0.384
-499,0.457,0.0735,313,610
817,-407,mtibzchtge,-120,-4
DOG,jzplrcjokw,DOG,brqmkiddob,uzshxtbbxv
xmnkpmiqsg,-0.374,Cat,-225,DoG
DoG,-0.461,341,CaT,600
0.334,caT,321,dOg,-215
-189,bagbtrwxaj,539,gnfsbxcgte,cAt
sxmambarhr,hwhlviolls,-0.193,nquuqaowvo,kohybyagzt
-181,432,dog,-31,-254
-0.3975,Cat,-516,-925,wdlzesddpr
fvthcqoott,0.362,inxxwqofyb,sozziddltx,798
267,-56,xckfnvvsaj,plovmrwlrk,635
0.429,xvytegegzn,fcqltfgedf,DoG,tvmfpvgjoa
tgjwuyqvlq,0.245,0.173,dog,cat
ydzvdngclj,uwyivsgjcv,kinpojhsne,DOG,-144
427,tyzmkivduo,-0.3425,-0.3755,-0.0945
0.4705,-0.4275,177,CAt,0.239
-36,-0.053,dOG,doG,-0.3615
-234,echajbiahr,-0.143,-152,325
fettriccrq,Dog,488,uzdishuzxm,0.0315
CAt,xodskgxapg,604,-0.1025,DOG
