jvpzstdlqy,lisbbdrcpd,PeT,zhsbiewfos
rdwobhyokm,-744,0.1245,-297
0.1075,wnopkgrsuo,CAT,-0.0555
lngszgdasz,-899,dog,-445
khjlwrbbev,cAt,cAT,Dog
yegkcdhvjq,0.4115,0.403,chcdtnvvqx
-249,0.3815,cAT,-0.123
-660,-0.0735,700,-0.042
0.0315,-0.0065,cAt,-0.228
0.0995,cat,DOG,0.1805
CAt,-459,0.0315,bulxbzkmun
CaT,693,cat,-0.0485
cat,uutillfgqf,CaT,smwxtnxszn
DOG,990,CAt,yueximgtfj
237,Cat,Cat,-141
-932,mhiahquuda,CaT,-384
dOg,apuhzxnsnr,-81,-0.4965
-892,nbdgqryjkt,dOG,yqdvvfrfkt
tzzbxkayuj,dOG,xkuuueeftk,913
521,416,cAT,-114
nsuhrgsioc,852,-0.3395,-0.3835
sqiyjdkpku,gmhrfoeclb,DOg,-616
cAt,0.1215,25,wawayhrdfw
-808,-0.358,Cat,760
oudymkbgeg,fuiemwbgce,cAT,bgzmpnqkkd
0.184,702,dOg,rnwwdfvdaj
DOg,dOg,CaT,dkstpwnfid
uxalbiuhjd,xwnfsvntik,Dog,-385
-0.145,-199,CaT,-0.0305
-469,506,CaT,Dog
-108,-0.237,CAT,578
ewxodvalyz,0.2105,Cat,DOg
tvvqmnrlin,vmambjpnvl,CAt,-457
0.115,-0.209,cAt,-923
pjutyecbyo,DOG,doG,CAt
907,-184,795,0.289
dOg,xgugwsfysc,tseyajecdg,lztesjvrhh
894,0.268,caT,-262
-474,-0.145,CAT,fibwgznsyi
-902,DoG,Cat,-248
-470,dOG,dOg,-892
cAt,0.2575,CaT,okybmazjpr
sgrpzqrxyq,caT,0.2675,cAt
-20,-441,dOG,-0.2795
0.374,CaT,0.082,CAt
ucmpwjsqcx,-380,bbquokxuvo,-101
fqslypzfav,0.3075,-872,-0.348
-0.3215,-571,CAt,kicqwsuzws
dOG,450,Dog,yocjkqnlvk
320,0.4805,158,inwhthvxnd
0.2485,dOg,0.088,920
uzsgudkxjd,0.3375,cAT,-0.291
-270,luteackcys,DOg,nignnldnwu
cAt,dOG,doG,403
0.3965,gdsuudakvw,cat,552
-0.2125,0.2035,CAt,0.078
Dog,-963,CaT,-522
267,-0.1995,-0.064,-253
-951,879,CAT,-0.0475
70,257,cAt,-0.2315
0.319,npoawsgexq,iauzjhseqw,214
egymksfnzx,700,113,dOG
qnusfyhjxc,0.0585,345,-0.0355
cAT,-0.089,nlrrmzpyio,940
Cat,ezzpcmnyir,dOG,-0.4355
rauosjbkqr,-0.2685,DOg,359
4,vvockjwmkp,860,-765
urlblelvfx,ohlitfrpgl,wbbkhdwkns,0.185
51,467,DOg,lbeazaojtc
qmsivdjzwf,dnjoetdkae,doG,vjfwqwvmmb
uhsaccgzgx,-221,CAt,dOg
-600,hiqomdnceh,-0.3455,tjsyfnkovf
173,kqkzjnspsh,dog,-527
