iyaoczxenj,lnlqlyitmk,ubkaqsnlsf,jelhvjpdwi,ywaetbjyus,akpalukids,hjzklfxepe
0.16,-638,-523,67,fywsmtsvdf,Cat,-0.0595
DoG,-0.1875,cat,-206,CAt,doG,-0.2875
doG,-0.3865,-698,epcxxmwdnu,0.449,mxqucelfsr,0.02
-0.1705,pxskrmtwxm,-300,-563,-0.247,401,465
-49,fxhgzdqtsw,jmlwpdwkao,pjqwslqukt,uokbyhqpfb,zpbabcwsgf,lizcvtmrnx
dOG,lewlrhyagf,doG,dxxmrzttji,xnznowchkv,CAT,-991
itczknichb,0.444,-784,89,dog,CaT,-359
0.168,0.417,pnqphnyplk,0.1005,0.2715,2,luyixxrkla
whloyljuwz,jyrgtxqlkb,-597,dOG,-57,husatioxbc,DOg
DoG,dOG,-0.1985,0.381,xybjhhjzbn,992,qosdnlaqgc
-307,wwizoivhfs,576,-0.365,DoG,-89,678
-637,dOG,dog,diribmazli,yzjthxxyih,vmmjoxccpz,-323
-0.1185,0.3815,doG,cat,-0.0685,0.3285,0.2675
-843,-795,0.144,-443,0.24,-0.1205,wcwrhcvkwz
-311,pexgrwljjg,263,-620,caT,btisknpatn,-0.358
