yzzjfgjjsz,mjziecnpvc,zdwyblulaf,jovkxxobav,ibznmakqvj
-114,-410,679,-75,991
jhtqrrvxjm,kyfnumihwv,cAt,0.2395,trgcsutpmk
krzyektjnr,878,fmgjmkizjt,-0.176,ligbkynkay
92,amjmjzaloi,-0.1665,zwnsppmbvn,-0.0025
33,dOG,ndiiwjcfpv,cat,-0.494
DOG,235,dOg,CAT,hofjboqunu
0.253,-459,-0.1175,-0.025,-64
-0.2325,-0.095,409,160,-0.0165
0.2245,gxhxzhyavz,kgweptgeji,doG,nrosqgvxjv
0.022,0.1485,894,hvcuqeuuta,-0.052
0.4215,-0.466,537,-0.36,lppmribkfw
tbxfzjxuor,-881,qbwhcpdltn,-0.2635,-0.1645
oqwibtbnrx,-0.2025,CAT,-0.445,nigssvuvsw
216,666,0.0815,-0.478,0.124
-526,577,dgyemxyfue,-256,-582
-710,544,724,sqdayufoow,-0.4945
-0.459,-91,-856,-996,DoG
0.414,-0.159,DOG,lrdggizpor,-623
owxwswarzq,419,0.2235,qyjwjdqzzw,0.4565
DoG,gqynkjrsyc,erijtwlskg,0.1775,-0.3135
0.453,134,pjefzhbohj,502,dmwfxsphri
0.139,doG,0.314,-0.1035,918
-0.349,bktbovijyz,0.238,742,DOG
0.439,511,-0.441,-0.1675,-441
sadwvmxbbc,CAt,deenqjhsqe,CaT,dOG
dOg,0.231,0.1955,-109,-3
358,DoG,779,lrasgbqvml,CAt
-0.3615,-499,0.4915,nttcidlkqd,-495
CAt,CAT,749,0.1135,-0.433
stdsagtskw,-656,imvilwzjof,-247,0.3825
-0.1885,bqduviwkxl,55,xwgjcbctqv,agkdwnilow
-11,490,cAT,doG,789
-565,CAt,-357,cAt,-0.123
-700,Dog,doG,qnxroberch,-735
DOg,-0.185,-0.242,-180,yvpdmncekt
-0.1815,malaocpanw,-78,-662,hlvzlpbtuz
-736,-0.488,22,798,CAt
-745,-0.3835,ojpvulvdlm,Dog,bufcavunpn
-0.4075,eoucmwchzd,mlwnsktxeh,pytwjzhupf,Dog
676,jyjzyosbdt,ndyglvfjcw,-0.5,-753
gcrzwjznql,843,CAT,cat,CAt
xhgdtdluzk,ipujcwrqyq,-0.1945,-0.234,489
ssufurudcx,-0.098,doG,156,0.479
-919,0.4805,CAt,dOg,-296
-0.1555,-0.3235,0.4925,lwzqbhzbku,0.413
jeguxejvww,0.341,-0.377,CaT,cAT
0.348,-185,966,153,0.1415
exhhxnmlbm,0.3305,0.281,0.1085,-155
557,doG,0.095,30,445
