keyrjmqnfy,sajaubxcsc,deuerfngrs,bpypkpnmsh
0.189,tzbjhozpzp,snaskanjsw,-0.254
993,-0.4485,uvmkytmdob,0.283
-0.3775,583,kqcizsqzlr,445
cAT,-147,-0.0725,-0.0395
flaaqonvjf,-855,-894,vkwikvndyx
935,bygjwanlok,-43,prtomdmjlu
0.1165,CAT,CaT,324
bouxixjnbj,723,-0.2005,343
409,-440,hoognoarwy,0.437
-689,lqnjnpjtwd,402,0.14
Cat,ufwqfazjcp,128,Dog
DOg,145,dlccoybzdy,-590
-456,dOG,0.315,dhajqrlovg
-0.1425,328,DOg,bvkxbkntku
dOG,0.15,-226,axlsclzhgb
dOg,-695,libvpldhon,-204
gdpuhrlgtk,caT,iuoirrvwne,cAT
ohbasnfwgb,plmyprvclh,-454,-0.498
dOg,67,0.3745,DOG
xxauxjcbja,zlhbkpkcug,-14,0.118
fdfejifjjb,-983,dOG,-0.252
leoxkxybbu,377,Cat,mclogehvzg
-282,gvjknffyjp,0.181,pergxgzwmp
unterwztgb,-0.439,0.3425,697
doG,koeasktqik,cat,-871
0.2835,271,0.2145,xmzhtfcyxj
0.2155,0.3925,bslwfauipi,fughxnzpjg
-0.4195,mupcmmckpz,-473,0.254
bmevmyrfby,639,zkttcogwnu,608
-0.1515,kphehcgdkv,-0.3075,560
fhmyvoleax,-0.2485,0.076,-0.1275
wvtqziucdb,abilxzqbow,DOG,-0.15
tjxbsqrgph,cat,cat,cAT
oxhlrjyqhh,-0.411,745,131
0.18,dsxudyjvwe,954,-422
0.0995,dog,0.292,-118
-389,-0.039,CAt,cat
doG,dgznajdtcc,0.044,0.0355
dog,-366,-0.202,dxbkrapvct
224,934,-6,vdervdxfxl
fcurhwcfxl,itvvjskiph,ipovvlgtiu,DOG
jjmyiaucux,cAT,-778,mzjqaopivl
-112,55,272,cAT
-616,-676,pnzbcfspmp,CAt
ctvmecwdti,cAt,0.1755,tjipwezwuk
0.2215,0.158,gztyayiqyf,172
oauzmpvjud,0.019,0.1415,kvfojplvqk
670,0.2355,-620,423
0.44,nlqgurluwp,dfwjyzxqko,-439
0.21,cevxytmvgn,bxqirwiusy,148
960,973,-0.2805,613
0.482,0.099,kdkaueskgn,325
CAT,dOg,-632,-0.0405
71,0.355,-712,-0.362
CAt,pedhhianne,-87,cfuoxcccrd
-0.1655,0.2555,pqwtjqkflz,-521
cAT,Dog,215,0.1105
-0.0745,qrgxoweqxt,0.107,503
-874,dOg,urpquflhrm,-540
xhjkupnlpc,0.4745,381,ndorfkcwly
qqlacohtew,-129,wxklnmunvv,DoG
0.2475,-305,fulahntyuw,276
dOG,0.4745,-0.127,-0.288
yunlwwxbly,CAt,yhxaxkgpvh,0.2035
0.455,-314,-0.2815,-682
-0.1855,-109,379,-616
Dog,epzzyurdhy,733,-947
pnnhxjxqzj,crhuxmcywm,-947,-917
doG,-0.395,-266,-0.173
iwnqrfposv,cAt,-0.432,-0.2585
-58,-774,ctzhaytcpz,elvdclsjyl
dOg,nyltjdoerj,-0.0175,567
465,DoG,-0.104,679
-0.109,945,-333,DoG
Cat,0.21,dOg,DOg
-957,983,925,udcsqobfog
eepnbsqegk,-173,0.017,CaT
kinhxfbdlj,0.2585,xjtqyzyxre,-742
628,dOg,0.4515,dOg
akrcggvtug,cat,gzmmwjjzyv,-0.209
CaT,-110,-325,bzuoqljwoi
kijxhncprl,-0.101,-595,rjybcqjpiq
854,uerhgjhlbx,0.387,caT
-115,-863,-0.097,-928
0.1285,-0.1865,104,-745
addixogtyd,-0.4645,CAT,-0.2555
