phltbszxsq,yddirsihfy,PEt,tdgwjzcoyh
-446,0.0685,cAt,pspmpuomjo
CAt,CAT,0.0645,rjivrpgcak
403,-0.11,Dog,322
365,656,uoffusvhvq,zmeydrxgdv
dkadgeznoi,0.139,cat,-0.427
CAt,pxjpgysnja,Dog,DoG
cat,CaT,0.123,tjyjvguyeu
-0.329,0.3425,dOG,-956
364,-615,DoG,0.3365
798,-0.335,dOg,401
aoyevqxzjr,-0.0705,dog,999
Cat,hyyzjgiuly,DOG,uqotygsnzw
-0.052,nbzjlfpjyx,DoG,nefnmfnkoq
CAt,-0.381,CAt,127
-0.063,117,dOg,-264
653,614,DOg,-886
965,riwohxyunp,dOG,ollkbaneyk
0.3365,-200,DoG,cajvohmcwb
0.293,-244,DOg,245
tdkzhgvwev,cAt,CAt,-0.2715
aywzfmllmk,-0.014,dOg,znbqwhdchz
uevcvtappp,rdfcspzzxn,cAT,pwndsrxpby
caT,DoG,cAT,-907
891,rusnbbrubr,dOG,DOG
epsyydhvmf,-0.4995,pujeegtqqy,799
iieyxpgsil,980,caT,0.297
mfyaljtkrs,-0.302,CaT,seicphgisn
jiehepqoqf,vrxevxuqbm,CaT,osvtrjcveq
93,cofpxuzhgm,DOG,0.308
-242,CAt,CaT,-477
-540,154,cAt,-770
vgmsoakiic,dog,cAt,-333
cwcicskjyt,kqfdokjial,-887,-0.258
-0.1965,fyvbehdzxz,-49,-2
525,DOG,dog,rwruhxmxal
CAt,gjrsmwbyia,DOG,651
153,-369,fjymqzzott,rwuaejmvtk
cqkelnkgpj,0.237,vqrlqogffq,gcytuvjxba
-0.452,tqwhasyvnu,CAt,lgoeclofsa
ktprckucrm,-378,dog,-920
-633,-0.221,-0.0485,aodczqwplw
zkzddatycc,kpanfzvges,dog,865
-611,0.24,dOg,490
-739,cAT,DOg,CAT
DoG,txmvkksbiw,cAT,mjdcyjgfmm
0.0945,dynapavhde,CaT,0.318
0.051,-709,cAt,-966
CAt,0.0875,dOG,-459
ovbxcrcaqb,-0.043,-156,0.4315
-0.305,0.4375,883,wpdhyaxuzw
-0.202,-0.475,dOg,cAt
0.002,42,dOg,lxzdakoxui
554,imswtsjmxy,dOg,-147
CaT,dOg,311,fppcsfleff
dOg,cAt,0.0835,DoG
dnvzwuitld,cat,DOG,jgtnsrqkae
244,-0.367,dog,tmsoirmbso
nsabouxagd,teseuxglpf,cAt,xwwjjnnjdt
arwluycryx,ttydmmkpjg,CAT,-0.1585
774,vwosbltjfu,cat,266
DoG,910,281,gswcpqwnyd
0.038,-961,caT,-934
ebpehjodyj,-234,wrkyirvmyk,0.048
-0.2125,Cat,DoG,-337
iiufterajg,-1,CaT,gjtfqqjngx
nuxvbdkgvg,0.253,dog,-224
-792,alfpnmbfck,cat,nbgranlnxu
450,zsfhjnmnxg,dog,-735
-846,889,caT,unrhkzujiy
892,pybvoscpea,cAt,-0.341
0.144,-0.37,cAt,urwxmptbvs
994,tdpmtihlsq,CAt,jslpvcnkvd
-0.277,-943,CAt,659
dog,653,Cat,vgmsgmpvke
wjldfrdfih,caT,doG,doG
-607,tigposmhkx,cAT,caT
-0.4995,-0.336,yoielgdgyf,-0.2765
0.306,-0.272,DOG,jltlphkwhq
0.0875,yrkaqhknby,Cat,0.3595
caT,-0.41,cohvtcwlfq,-593
364,syyuvmdyje,Cat,gaubtosjyr
aiistsxqqm,-0.0885,CAt,0.1505
rxelryvllw,CAt,cAT,0.4785
Cat,-0.054,caT,-0.058
fjlktakizu,DoG,cAt,hfuhnourdl
0.3515,wvmmyieeww,dOG,glfdulvpoj
