vdgzxfncua,mnggfsjbnj,opxieukzro
667,0.1055,-381
fkhosqrlba,cAt,doG
-185,0.2705,0.1445
dOG,-438,0.4175
ryfuoirurk,riehlvklew,-96
rjlheajxzs,953,whjoojoode
CAT,-0.153,823
-5,kjisxxeydh,njijgulbyw
ufuqtkyucg,-637,rqgwwzvnlx
89,DOG,-0.464
arxryduhst,tqkvorozon,nvaltdoazp
cat,DOg,aexhmxzswn
0.1015,0.427,0.326
-0.495,-18,164
Dog,qqyphsgwms,sytongojyu
-782,0.093,CAT
-923,0.065,-616
ggskdtphxk,zchyhqhjaq,xzfxxgoxwz
-659,dsvpwdcrgo,gptpueudgo
-0.432,196,cat
0.4515,urhumxtewl,0.414
-829,coefbfnivd,-0.1595
-509,jobjrpnmit,943
-0.034,441,-796
Cat,cAT,0.063
0.2555,4,dOg
cAt,nkycqlthdv,doG
hseuhdzptq,lwhdopqgoz,-758
0.2905,358,0.148
cat,-0.432,-187
989,dOG,0.1955
yltwurpbch,16,mqdbnnblgq
tneguctvmm,ztwowslvjl,0.03
-0.493,ktnwexbsdg,-165
716,niumwozxbc,dtkwinmlra
Dog,rbqhkxcvwe,aysrzomgbv
mxqwucdtrw,0.2225,dOg
