ejmmzmhmtd,erkgjzaofq,gevmuqchvu
dog,-479,CAT
ujmqkvsiez,0.205,0.1165
lxegxktktw,-105,-974
DOG,-0.4545,douihbfohj
DOg,CAt,dOG
-536,caT,Cat
doG,-0.447,0.4765
ogwxrrwuwl,caT,DoG
wbpbtxdmcz,278,garqbgcamo
rnetziujjn,adedwuldxn,Cat
-961,-207,-0.308
CaT,52,ctcqgzajhl
0.329,0.3975,55
caT,caT,0.0455
-0.4645,0.4705,158
158,-553,593
hgkgrjihhx,713,-79
vubrikqabl,0.176,82
-0.173,-0.146,Dog
doG,12,mmiasyojfq
-0.3905,0.1065,178
-340,609,zxyuuxclvj
ksksdcyoye,-406,0.4185
Dog,-0.0585,caT
-537,tauibupijt,gxgueysqok
hpwmcaupkk,-0.004,-820
Dog,gllrcxsthc,0.1335
701,dog,fxdrpsvfck
-390,-158,Dog
bqddyluzbz,gffpuwqlux,fgbosbzpxc
0.271,dOG,-201
-630,DOg,0.0705
ialrvxafco,gznxujmbce,-940
-644,fbwrjtbzil,DoG
zgazxaokni,-646,0.2245
dkzuazynfc,ntfbdtwlfi,-800
0.0295,663,577
cAt,-320,0.1625
113,920,ggeqphzdll
-0.026,368,41
Cat,vbimdeoovv,jmpixfvygk
DoG,oumzgkiupy,cAt
298,0.0325,mjcjxgxadl
-186,-593,0.2865
CaT,cat,cat
slmetnnwkb,-0.0795,0.4545
-0.13,CAT,-302
-53,-903,-962
bqrlumoukp,-211,-0.106
753,427,-0.1605
-76,ucfjvavmab,dOg
xpjnezycpm,fnprdymsou,-0.335
736,nyzjpdtnxy,629
ypdfeobxoo,134,-181
dOg,-742,nnidlmcvok
-0.181,zbikmubewk,-291
0.3825,761,oifcbxrmjm
dOG,caT,0.243
tksqmietyr,cAt,gsbajjbqzw
pcytrkdlxa,-666,ielyxqscct
altqeipiff,882,0.4635
dnxftrvblg,735,-0.367
otpwhqsdht,-0.2715,0.34
fmxkirxrbs,694,-0.2635
