clxociitas,vzvqchhdmk,vnypevrhvs
uoxjozhdte,0.4665,-302
-690,514,-356
ftygebgvjm,0.1345,-0.322
pfxoqyrazf,nmftgyqjun,ceuarcbchc
0.3095,DoG,719
943,158,Cat
cbptmqicoo,-371,goljvyyqby
xzoyerqyvp,717,vseotchrxy
dibrdepnrm,-0.2825,-0.2785
-538,rlvhqzjkli,drciccdasp
-374,grztsqzpgj,0.024
-0.1755,-0.0895,-801
560,472,-0.0155
CAt,cat,DOg
DOg,0.2485,520
417,-0.291,0.44
927,zcmnkamxxm,cat
hblutgfsor,ztguftefaz,-0.141
yzynxhddec,878,505
331,0.062,0.3175
hweedsygwq,0.003,uijgegkcwn
-0.264,-0.373,69
tzzysomvrk,943,-308
-166,-0.4225,-0.29
