pet,qzhfnysosg,iisfqbhrcw
anjyudpxhl,DoG,-0.113
xezmrgfmli,0.1085,-459
-71,0.206,-127
CAT,-778,480
DOG,-984,apgxjhmjnr
dOg,uqgjlbwtdq,cAT
Cat,667,cat
DOg,mmwcbacoqn,0.2095
cat,fqjfxqapel,oiymwromed
cAT,688,DOg
cat,497,-395
tshcovjquq,osqkmjwpbt,-374
dog,-537,jbjxreigya
cat,usnsyptzia,996
cat,hswofielcr,263
doG,0.255,dOG
doG,ngdfylpxuv,vanmclqhxg
DOG,-763,CAT
Dog,-730,CAt
dOg,0.066,-0.364
DOg,61,-820
cat,0.3065,CaT
0.2,-62,-0.4835
DOg,594,ywdhgjerze
cAT,-578,-250
DOG,dOG,0.073
CaT,ejkonyzcqe,rgtjxkmteh
cat,nknwbjiwjb,457
dOG,0.2195,-176
dog,revlbahdik,guzujeycfv
xjdbvtnlaz,iwohkwuyuc,0.2135
dog,0.3785,mqbzvylglg
DOG,-0.4215,-0.3025
olewmmgebf,-666,fpznaevlpy
-314,-90,654
CAt,Dog,0.3905
DoG,210,doG
DOG,plzghjshvl,cAt
dOG,ojdavmndsu,ysktzwkbrk
-0.0575,pxhsenjfth,-0.2315
DOg,-802,mretspgxaf
-0.4925,0.175,-636
0.473,DOG,hxammfuosy
cAt,uatxcrgrvm,dqyzigixdx
0.3635,DoG,-0.399
CAt,687,gaiinffpwc
DOg,224,-0.1305
CAt,0.108,0.0795
dOG,-788,hyubtmlwzz
xhfhkoynsc,dlbjeevjut,-0.0295
Cat,nfbqdcsgsf,pvryosjguf
0.1305,-0.462,612
DOG,-362,neikwhiwgx
270,pwotgomble,0.232
CaT,40,-104
nqkaqrqqrk,0.1645,dumlynzbur
-237,0.394,Cat
dOg,431,DOg
dOg,CAT,-0.115
caT,0.2645,-0.141
CAt,rvwakknbcb,0.0935
DOg,ykqeayorix,DOG
zmwhylxqcz,0.1725,-0.254
doG,doG,394
DoG,-0.32,uoviwdcdfc
cat,-487,caT
Dog,-556,cAt
Cat,qrwttefbcm,zzpenklnva
CAt,mluedvusrk,-428
0.298,261,obninnrgij
0.2345,nvhyiaindz,DOg
Cat,0.0735,caT
DOG,-152,rzyjuoleiv
cat,-466,0.405
CAt,fnpjoaypwl,0.367
cat,-529,DoG
-0.1845,960,-0.2465
CAT,475,366
CAT,ymmnxyptjx,0.2885
cAt,zmrkkulaxc,-687
CAt,-0.194,dOg
cAt,572,cpbyjuxggy
517,Dog,-0.39
fhseimnjcv,DoG,caT
CAT,-0.3,azhvgdvzft
doG,926,bqsprwrmrf
Dog,-0.0365,-757
