hcbmkndmfh,PeT,szqhojskwc
-0.1935,unruioppyl,-0.3955
CaT,cat,tmbhmdxwjt
-0.26,DOg,-698
twzpzahwwk,cat,-210
caT,DOg,796
yupktuvkhs,CAT,CaT
CaT,dOg,0.3345
DOG,CaT,cAt
DOG,ellpwfajdw,gvsmdkmphd
doG,0.0545,dcudahgnyy
CAt,caT,vggbmvdjfr
gtrivzlmlj,dOg,-873
ihnkogbfxe,dOG,970
-387,DOG,-625
Dog,cat,426
40,ralqmktkny,cAT
-0.3375,-703,0.1085
caT,uhywsmdbmj,0.1535
ggvzkmubeq,DOG,-821
-530,Dog,0.4635
745,DoG,-0.1795
oiljkhruid,doG,caT
DOg,dOg,602
0.4815,-476,fnncsckxwa
afryosgpkq,0.095,0.3665
0.4395,doG,833
wcofwrncvp,CAT,0.0865
zybgthtpop,doG,-0.4675
-0.2275,hlvmyqkhta,674
-849,cat,739
stmcuhdlwn,caT,-0.385
gykbmanxlf,793,693
cAt,caT,DOg
-651,caT,bcrylwvdik
25,CAt,-0.1755
-0.252,doG,fmynyxggjy
hzywojggnv,cat,aaorrkhjwn
ckbtpslicp,cat,-687
cat,cAt,ebrczdrnoe
-0.4265,cat,-284
DOG,981,-880
DoG,DOG,-0.327
-0.1565,853,-0.262
0.1245,DOg,0.08
-0.409,cat,0.1395
0.491,zxndvaiyuo,0.08
38,Dog,-0.126
ubobelampq,cAT,oaffabwyjp
exxocgfqgk,Dog,-440
uhningoizw,dog,-0.001
856,dog,cmyhqxnajk
-8,-0.2295,-832
100,CaT,-695
0.034,0.0995,231
-0.0695,Dog,mrftiaxtvj
gqsezshkdr,CAT,efpuhgvifp
-66,CAt,688
0.0745,Dog,-0.126
Dog,dog,nkyyjygbrj
0.401,CaT,0.0195
-0.1245,dnmmptxdxk,0.09
-0.1985,Dog,yqquwjcwso
DOG,DoG,0.4395
981,cAT,466
