kqgowggczn,zqzpkmtevb,pet,bsotnktcrh,zeydnwvpgr
Dog,cat,nsnurfcqur,-0.021,lwtgxbhxyo
qpwepxswrh,0.4375,dog,-0.048,-188
gqoodeawmt,dog,71,ihuucjzxdl,560
CAT,bnbzjzrgzp,doG,rfxvnhntge,cat
0.1955,786,CAT,-998,cpbegcjlwx
elmunlenyi,0.3995,cAt,0.099,139
-0.085,qynagdhiud,DOg,0.0775,-0.218
-0.452,hzsjhoiakh,cAt,660,-624
rwfposghji,cksxpsyeis,DoG,-0.4965,CaT
jenrlpkexc,-0.2985,0.101,0.3625,inenhfikej
0.023,-0.059,dog,-0.4805,-0.2065
-964,-0.1445,cAt,-0.0395,-895
63,dOg,DOG,-772,CAT
gksutnxqbx,-0.4295,mmfsiwnsil,gwoqmbrogm,581
242,vhsygeiumw,Cat,uoywbvogxk,-977
-874,281,cdxprhddgt,434,0.4275
CAt,204,wervfqhjop,CAT,caT
-0.3865,235,CaT,-674,CAT
192,-0.434,doG,qcusiyqeuq,885
dOG,291,caT,0.316,caT
glboqeblgd,bvbzmtsasa,-921,yeznsstenv,DoG
doG,361,cat,Dog,0.1635
mmegtmmjfs,-899,cat,423,-786
986,0.0265,DOg,-0.346,0.056
mzuxgazoft,-65,-62,-94,608
DOg,516,dOG,CaT,qxlxuxwkvv
-365,-554,DoG,-0.3665,0.4015
ztkqxjtpxh,-213,-0.1565,nhdhbrrbcl,-538
rgxaevjqtm,271,Cat,0.3545,wsxjoyvsxp
dog,762,-0.071,0.42,iikdrqjtuh
0.4305,809,dOG,0.2725,-0.3765
-353,osrxmbmgar,dOg,jtqlwrbvww,454
362,-695,CAt,-40,haoavxvskf
-0.338,-0.043,DOG,-0.452,573
