pqlsekgduv,kqytjgfski,qcdevsqpbz,cjeqdnsvwd,PeT
0.397,eevuavwsex,vwudosboqd,523,caT
437,0.074,qhllfacvzp,185,CAt
cAt,0.07,0.491,bnjbltuwuh,DOG
618,okbolaqagy,-0.16,0.2515,Dog
doG,dddraionye,txdzjlrwdq,0.0695,CaT
-0.319,dOg,0.181,-742,0.0635
-0.194,-432,0.2495,718,caT
yauxujcuwi,800,-0.262,-691,0.147
-0.1235,-0.1105,-502,-0.4795,Dog
-0.3995,683,prsorlquyq,knlstjypef,DOG
-152,fdofjwdjva,-159,-531,pqqlmjmgma
-0.413,65,oygotlecwj,-909,dOG
dog,DoG,-0.2675,177,dog
306,cAt,ignfzprwvz,nxhdtnizbn,cAT
-851,ydfusyursq,pegotifaqo,Dog,0.0665
bjtoxevmge,rcaummbswu,doG,0.4045,dOg
DoG,cat,819,-370,-0.3525
qfwhxjymwo,0.3115,CAt,ieixqloiol,dog
caT,0.142,uhpywgpllc,-566,0.36
caT,hrstznvbql,0.3245,393,-13
617,-444,dOg,-0.138,943
wcrnuguzou,yoptxgiili,CAt,65,doG
-0.4775,rwzfrqsvjh,0.483,zxyszoobmm,cAT
-0.2665,0.3385,-0.026,CAt,Dog
vrrbnuzdax,0.319,rhugdzpuft,626,xyxumehjvc
