fwxducvzgk,vonynrtjgs,kltqlfpnkk
0.069,-60,doG
DoG,ahrircdhbo,-0.4905
0.371,hvbpguzvto,-0.3635
-0.3545,CAT,CaT
0.463,Cat,cvloczyxne
0.094,ofrbizabbc,-189
403,769,-315
403,ljxmchjmeh,0.4175
-412,776,-29
856,0.207,guzjzruupb
-0.0245,uejlrxwniw,708
-263,CaT,-0.273
-691,chokouyoui,140
dfsmheyqos,topjfbrnzl,lvxghuvisp
-269,kheimdsdyk,-656
-94,CAt,-0.3235
0.194,0.1165,491
scvhrisckr,0.2095,657
dog,jixuepmxcx,CAt
eqvfpufvkz,0.122,dOG
Cat,-188,-539
-0.217,DOg,0.0965
77,0.3975,0.128
jndoznurzx,caT,369
0.488,dOG,DOg
-904,klzylbcvby,-308
341,wemmzdfsot,xhsfdkgval
frrebiteri,chmkuzkvpy,-0.413
DOg,-973,jsdbdfkywj
0.0965,-0.343,-116
-0.3735,-0.1805,dog
aqwtpycnpy,zvzmirrpkb,-0.3415
CAT,-413,ooprqyunrm
frldxsqrwp,-588,-457
wqpujdciyc,412,328
-0.2275,871,Cat
-805,simxrrebtr,rxtttlfltp
fenfmcwzuw,cat,vuipkcrlqk
ldixtxciyh,824,ntdoupjtvh
enkxqqbtjj,-4,-0.4485
-66,400,-147
-72,doG,uqfqekyetj
ahjgauelzo,673,445
dOg,-191,0.2605
-0.396,-342,ghipcjxmyz
0.062,jotfuurbfw,0.298
0.0775,cAT,-0.4065
vzhdpnsruu,502,-739
0.1215,cAT,owshliaxqq
-638,-0.076,-430
-0.2575,529,ohrqlgywhh
caT,0.2715,0.432
223,caT,DOg
236,DOG,dzyvwbbwed
-0.249,838,663
-307,0.314,-198
-0.4985,doG,yzemezuugv
CAt,0.2635,cAT
jseohjkyok,-0.1115,djieisndqd
0.327,pwlppxeyrh,-232
0.459,dOG,zuhciwozss
0.277,dOg,0.213
0.1495,0.0575,743
ustuzqduww,jxxqlvzzrw,-0.0795
tirzoxjkio,xtxxdngcmb,dOG
DOG,CaT,CaT
-698,ublmleseuc,-726
0.071,-0.435,362
354,Cat,0.163
hwkvbjyspm,xvdjfnidqf,0.1795
qjefexjstd,0.008,DoG
-0.1385,cAT,-3
902,-0.384,0.127
jgzdghkbvv,zfdfxbrims,dOG
-0.4855,-312,728
