norchqfkin,eadfswctge,bzphshrgdm,zhlbswyyyh,vwmsqhedqk,eydbbjqxsm,ooebxvxlqy
114,962,CAT,DOg,438,DOg,867
0.433,caT,-355,-0.19,-0.1365,cAT,ncjkfdebjy
knlusxttro,0.1955,0.439,DoG,DoG,cat,CAT
gmngkapxbl,cAT,keivjobzbr,cat,-542,0.4045,0.097
Cat,caT,-0.0045,-0.072,dudkfhiclf,xkzwnrtikz,0.388
0.1915,-730,eugpmfslyc,leapcuyxmm,511,tjexpodctw,cAt
561,-988,-93,427,993,dOg,865
-0.1005,972,-0.408,989,0.0665,dOg,-0.046
-922,pukobcvsyy,cAt,-96,cat,-834,patihdcwbk
trmtllmbxs,CAt,hrakqesymu,pyattugwpl,kopihvhmzp,DoG,cAT
694,dOg,-242,-0.1245,dOG,-489,Dog
879,0.158,-0.125,guoonysvcb,xsowlatqwx,qsnhhbuqfz,-510
-453,-0.0795,113,-0.4875,0.063,rgaxzzwlfo,hczofbpefu
goqxvqkqor,-0.151,worbrpudvv,-0.4775,fraeipelie,-0.384,-0.071
913,fbzczkincr,rjitchzwin,sxfunqprph,dOG,cbqxqqxmki,280
-971,-483,466,-701,Cat,-0.1485,tdnjjvjcll
cat,0.354,nhsdbkrkro,0.484,izfmfxwrng,-126,-0.2135
681,-77,DoG,xpmmrseohn,mqopvlumcs,975,xxdszvqbtg
-0.4415,fvstceckgx,0.3715,-0.3305,938,idltemdrip,152
yrbtkhlmny,-701,-766,DOg,0.2695,ecbvxowrpm,CaT
vgzbsjfvul,-586,586,dog,idjblmonqz,-870,fikxwvrbtj
ycavspobns,-866,CaT,ccifjxnrqn,nzeoaainhw,dog,DOg
caT,aqzcywocle,-26,-895,-537,0.085,diiacsefim
-0.1025,369,0.374,rvcwooegsc,-0.121,dOg,cAt
ixdodvpbwd,843,0.39,-0.402,fencpjungx,CAt,0.1915
0.1285,dtoscmpxcp,0.0445,-0.4085,0.4785,tydjsnwubd,dOg
cat,DOG,0.395,-830,-122,-78,ekajzqafzf
ckkgxwdhwb,lixhfvpequ,ptdmgokoyq,lqrtjjwaql,346,-995,-10
dOg,kmkouvadew,DOG,-0.1495,598,360,CAt
304,tikginpyrf,DoG,0.027,dvsxpsjnyz,CAt,iprrzhxfcw
-311,0.29,rthoqxdhpq,-0.1165,CaT,-189,0.1855
0.047,qwzogslyxa,oxnqngmqme,vbvswdetgq,-0.4455,cat,-0.0755
-97,vymtsmatil,0.0585,vtutdwtkvi,kihexijfup,-780,0.0615
-661,-819,0.4785,0.071,ycjvivrptx,-611,cAT
0.263,-0.238,652,507,-0.0005,0.2935,DoG
0.0475,-59,-0.0565,-0.4635,DoG,0.1985,-206
Cat,qfomqrnapt,0.4615,-0.3335,DoG,0.11,CaT
caT,DOG,ubvjjnensl,dog,tjfrzuuujn,-643,205
vmjcmlnytp,xyjdzvtqwi,656,zhbmmaiisu,-0.1505,-0.1525,-0.281
1000,mpdsfxygmn,-741,elhhrgygur,11,604,514
muufzpglda,myrmvijvbk,cAt,938,wulnbxnuod,0.229,378
-0.0015,-90,0.412,0.375,-0.0215,nrckrbmnxz,0.227
gotbdutniz,qsitrbdgxw,cndskstuci,Dog,ouqsosqnkz,-459,-0.4815
-889,fvamyjuphs,CAt,bqeywsxfpk,-0.075,nmakcrmgbn,dog
-0.447,-0.2815,-0.236,-5,-0.2715,dOg,nygtxgxwjk
dOg,wnsroptshf,-0.343,CaT,921,sduhttuhah,-550
0.4935,-0.4195,Cat,-375,791,CaT,oirqrpmdtc
0.478,-155,-0.098,0.1785,gskmlcbcwy,970,dog
-0.1105,cAt,-0.173,-988,objvkrwflz,-0.113,792
399,-0.2255,605,-0.3705,DoG,ohqugpbris,0.156
-0.2535,-600,1000,121,ileqcrtoia,0.138,0.2855
sxfczuonzt,0.1265,601,doG,-163,31,kmxbzqruif
objembrilv,308,0.28,CAt,-0.4745,gctatrwebp,giwpgpbuwb
0.306,ytxpeedvhz,-560,-183,0.35,992,Cat
akbrqekubc,cat,-0.245,jvjwjrpibv,lelopmbihd,yllwgyuauw,CaT
vrvtlitssu,-0.4015,vtyzntntpn,444,CAt,0.2615,CAt
