eeoauunkpm,kavaiqjpis,yypafnpfbs
669,0.397,-212
ewsrtpgbgy,0.0895,0.069
dOg,gsfemdwjrm,gwxazcslsp
lmlhxghzjd,-0.2105,413
914,DOG,dog
zrqrdbhdow,cat,-0.4775
cAt,0.388,563
aarxtekjmu,ogvdydilmr,yygbsfxxbp
tlkvkbvrmp,89,0.3935
Cat,rabdidqesy,-667
0.004,rzzkifjrat,-0.334
-0.068,-0.2065,-0.446
jgtunshehy,-106,0.4555
CAT,404,urjoduzbmh
-895,dOg,0.381
Cat,-0.073,946
hwbszopisu,0.4545,wncvrlxkqj
-0.166,-0.262,-0.371
-0.2585,doG,-791
-0.1775,mwqonjtboe,-0.182
0.4455,0.373,-4
-0.1225,tpaehaeuzo,-915
DoG,0.405,hqlfhlgzqq
cAt,0.2255,0.42
0.271,0.237,-0.005
fbkrfsawfs,0.13,DOg
568,-0.2425,0.0495
-0.0685,0.312,gqvoibkprl
eertnycmho,-658,-0.0225
-676,47,lgpbozzzjc
0.3125,0.0335,910
jovmuxmmtd,Dog,-268
wwpembdokp,-46,811
svvhaisbzr,cudhnxjloq,549
-0.055,dvogzxataq,cAt
0.3385,-508,ilrgsfloql
502,DOG,dog
xwijvkeibp,dOg,-931
rpjsaatche,0.375,767
0.2635,-188,0.094
-65,fmypzddmyq,511
0.1855,347,290
cat,bqisvfepib,693
-244,-188,xocoifsyxi
DOG,-567,-177
vioxaedktm,0.3885,-0.107
DOG,-476,462
dOg,0.1325,0.2875
-720,-0.1475,245
-0.434,-546,lwxeepanjh
pudzndnkjk,Cat,-275
0.3575,dnmemkapih,-0.319
0.329,yliatefsnf,-0.0185
-0.332,cat,0.423
0.0055,770,-0.4705
-0.4505,-747,0.429
-993,-438,-207
110,-0.3085,-61
nhhrejcdsy,tjkiowyuqm,0.3615
514,vckgoxzhbr,doG
275,gopyqwzcou,Dog
0.002,-0.169,0.2365
uobccznayz,-868,645
0.3595,0.431,dsjgulhvbl
-0.4375,Dog,978
17,trmrfzoflv,cat
-843,cAT,0.162
-0.1855,uykhqmackb,poypohznoi
caT,dog,-0.3525
-0.0165,0.1385,DOG
CAt,0.1885,48
dOg,cakytfavcj,0.028
DOG,hnpkrbnlne,-672
-0.0405,704,-0.477
csduvmnspp,jfyyipclrp,nvpixadmmj
0.472,-0.091,-0.066
Dog,caT,rmtlfjlhlc
0.341,-926,-0.299
0.0845,qpiekoomqw,-0.2375
493,-678,-0.305
CAt,ccyaecywwe,0.0075
caT,qtbljaazhp,-0.3555
591,dOg,442
-384,0.319,cAT
zulhsaowth,lsbotersdt,dOg
342,yzwcjmieso,0.479
