pfoctbqhxj,pet,znlwxxxsue,xarddilntq,thtvxbluhz,zzchlhwlcg,ncwpllfsvv
nhhgyuexij,caT,yupwrnfbuq,-0.4365,vrtrvyygcv,cAT,oscyyuspet
srrlcjyfvy,ydegzozakb,242,-402,caT,xgpldupzwa,666
2,dOG,DOG,-28,dOG,gwgplzkphn,-274
wknrzelxzm,dOg,Dog,vmpdwjjbuo,inihyyzaau,dmiasrcxwt,gbhgamervg
-960,-627,mldtosvypy,usakyyojbo,944,0.3025,0.135
gguckzeykx,cat,hwwpetgxcl,-664,0.197,-723,gwnxofmbhr
295,cat,yobughytiv,-366,ahwjhztkwl,lxweoxrrcx,264
-0.1165,dOG,kkkfxhhyqy,0.007,fzrblupqfp,Dog,0.0415
-387,-722,cAT,iukxsmqwlz,gywewcfrty,-740,cAT
623,cAT,kapmwhucbr,-25,scbybgcvxl,yjubxxkorz,0.252
-0.4315,CAt,0.119,0.2825,joesoxtjyg,874,-285
0.46,CAT,uoyhfeqwxu,925,vihscezmpg,whaffzkfyu,491
fbmtwduiov,CAT,-0.2225,-0.2655,-461,sgspmjbfdp,906
tvgrapmwje,cat,-0.1825,0.302,-0.267,-497,mfrnexyboh
eyepirhlqd,-566,40,61,927,0.4485,864
-770,wczatsubei,Dog,dOG,0.3855,-0.1425,gjedfwaeyh
ydczdqzaqr,Cat,0.447,pzsaaoebaa,zwmiulrznh,0.2805,-157
cat,Dog,-0.2525,-0.019,-837,0.15,dOG
CaT,-0.4975,Dog,Dog,-0.304,264,-163
-592,-0.205,-763,-168,cAt,156,0.417
0.1765,caT,CaT,-0.38,DoG,arnievzhsp,zlephpvpro
267,-671,cAT,-306,0.056,55,CaT
doG,-99,653,gmmuljqpwo,-0.1235,Cat,Dog
myllevrqtz,Cat,cAt,-842,CaT,nojwjatsua,Dog
cAt,0.112,-0.0635,mfodwghgvb,-109,cAT,DoG
-0.31,DOG,261,23,-0.0985,-0.059,-880
sravftefvg,CAt,doG,enkgawbhvu,462,snsipkazoz,DOG
-0.009,cat,uwdslztixy,-0.343,dog,tvuytkrpyc,449
845,doG,ufnymvlhar,jvxthaejoo,dOg,dOg,xxbkyezccm
rnggtkkhqi,dOG,695,0.1385,cAT,0.2625,-0.4125
gkrsopjiqs,DoG,cAT,ptlbqpyafv,0.051,uyrohdbmty,-0.405
0.4355,DOG,0.1435,cAt,-0.153,-0.3965,-0.2645
dbnpuxasxc,-0.122,jpvtaunouo,cAt,0.3035,-0.485,fxtjjjhotq
568,363,-0.4205,-873,CaT,0.433,orljroyols
jnevrjyubw,diskkjiypx,-0.017,901,cAt,297,-863
-0.482,CAt,269,swveksiohh,928,178,951
frtkprtjoh,DOG,410,-41,mawxdvdddw,iiqbfkrzed,0.1205
-165,-0.316,767,917,kdewqklrrn,dog,mtljiilwkq
-0.471,DoG,-0.041,newqdptoxk,-0.3515,caT,-0.4605
Cat,Cat,936,-910,0.1045,-216,Cat
kcgexsaels,-359,ewwmhgwelf,336,720,-220,914
ezkkoevzhd,caT,cAt,-740,-0.0645,-0.075,dgshutdfpf
mmevyuooxs,cat,dog,CAt,CaT,0.1765,-859
enxbnxtnbf,CAT,741,rddctwqqeq,Dog,dOg,-876
0.2265,zzduqqtpxr,-927,-1000,-0.24,iteuqkcbvv,bbsjakawzj
791,fzhdpxwvdg,391,0.0755,994,-309,-0.4965
cAT,DOG,mkkdevtkcl,rcmmlhbrel,ydjcwdhqcf,396,-228
-600,CAT,-0.1145,0.447,0.013,487,218
lumiaukuun,cat,-0.2665,391,cajkbnjnda,doG,0.169
-984,-0.3055,qsxqjnrfqu,193,0.373,Dog,456
-0.3175,dOg,suuzycweue,-0.2345,xgvgahbbaq,dOG,0.431
omybfctsjd,DoG,287,dog,cat,195,dOg
gnheanduzo,-204,-0.301,-0.36,jrkneulfzc,dnmxenmjxj,631
-754,-43,536,0.202,-181,-270,713
-177,Cat,3,-0.1865,tsbtmlrede,amgpmzkiul,0.416
DOG,CaT,kgwbdliaix,-0.1505,CaT,syeqjcjxah,DOg
cAT,DOg,-814,doG,-324,-374,wwzyfspyaa
DoG,CaT,-909,ytkkmfxupu,ycnbviozju,ybzlitntcy,0.1965
-246,dog,0.115,987,CAt,-0.1885,remwmxtojb
-273,CaT,193,-393,812,630,661
-0.321,doG,dog,0.298,-0.2915,zpfebtlnkx,0.306
oxdrjxlxkq,cAt,-0.2295,-67,caT,-978,0.309
cat,zlpirugbzm,725,-702,-658,cAT,-0.416
-0.239,DOG,0.3665,dOG,nkzablxdnp,-280,btnsnhafhx
bkazqpjerj,CAt,0.0065,kfhxznvmef,0.242,cat,139
bsmcdchgca,CAt,0.069,nxttjnauez,-603,uzwsbfgjtx,0.362
