xvllxjvuux,cgnzlugphf,sbcdbkyikb,ejuwhbqqwv,obacoulffd,ojoeghabce,ztonbffzxx
gjljvwblqw,ujdqnaiqwx,yovrmthlqi,-227,486,4,CAT
891,Dog,-0.3865,ejgcrzsdfx,skxnypywgo,CAt,jjchqkkllr
366,rkkobdrioq,0.1425,nfxswnokxp,-0.092,-166,190
cvuhuefcwl,caT,jlshpgckzf,0.0235,aaqnmyjygj,0.235,cAt
-181,tootqdhcul,vnosdkktrn,858,ojqymhltoe,zsoxfhfmpw,-814
fdrlnmxgsz,poxdzozoxq,454,431,uoooqfgbhf,CAt,0.0855
-665,wjideywfse,ittnpeoyfz,caT,284,0.2585,-0.0645
-28,nobrwkgnse,mwbhoxrhsn,-498,-0.042,-213,-936
-149,cAt,jxpsnhlojj,ajihrvmnrt,253,CaT,95
DOG,DoG,-0.1085,DoG,0.067,-529,-0.321
-0.3885,0.097,Dog,DOG,fxfsedcnbh,mfhlyjrfvg,flbqmixdcc
-0.2865,xozmpjombh,zsawfffquo,cAt,-0.1885,-0.311,mrrlwvyrvi
tajzfbkcit,CaT,kspfkosdyf,-611,mohrgcmpje,qfktkncqaf,ikygnzgwvp
zfwbkhqckf,-711,-144,eneyoewfmf,wpxsmpliwl,0.481,hwsmhneesi
CAt,-0.1805,caT,dmffdcxdkp,apnckdwuuo,oienwkjwvi,-0.1275
-366,afxfoaymic,tbzunszjat,ykvdavvzev,bizpfpbuuh,msooagxpho,-0.386
231,rjcnswefss,DOg,obpkalnjnw,mjgspxkeyt,dOg,856
0.4365,0.2975,-0.038,0.348,samvzkcbqj,CaT,Cat
-746,0.376,0.0445,-977,cat,0.198,739
cAT,uiftleiqld,114,-922,-0.1485,79,602
DOg,Dog,-931,974,reyzaxfhsc,qiwdoztkxx,njeethqkaq
cat,-830,419,kmnzhdvrhe,0.085,0.399,-0.197
dOg,222,Cat,Dog,-0.0245,-529,nyhebnukia
-0.029,DOg,609,375,cAt,vsqhwofxgr,-597
-0.3215,-0.0345,253,-485,620,-326,-37
0.155,821,DOg,DoG,0.07,CAt,413
852,-789,xtbdvbgctc,-0.143,0.3065,719,0.382
611,888,398,iuutbgpsgo,dOg,dOg,sgnxkfoiqe
-564,-0.0475,835,0.1505,Cat,808,-715
0,191,mitnsyqkcf,dOg,0.1615,euvuiqyejb,caT
367,lfjbxjelmt,-0.38,ccjslbddbw,-881,wsabzkucrh,bpxrekhayt
cefcervhqu,vjzinligmx,pfyiquolqd,qzroxbgplv,624,0.4805,dOG
-0.277,-0.45,lwlwpngmiv,330,oonyexwmcq,-965,dOG
-493,dOG,cAT,0.2535,-0.2915,dog,CAT
297,qhtabxrrql,463,376,0.475,odyzhrebzq,-0.2025
-318,0.3665,-0.228,doG,682,nbjgvnjtwy,-0.1405
259,-744,-0.386,bxmhzobnbk,cuogwzqnrs,cat,yjmokqghvi
279,jgbanpblwh,ycnfoztgix,-0.085,dOG,725,lirofiebgb
-0.2055,79,ffumyjsqud,CaT,-961,-998,icbruplclo
64,-924,qphmhabztj,0.268,-0.49,977,920
-0.0455,jbycqxugab,-467,154,-0.286,-406,iqtgixmzij
-0.189,qcvagkpqnh,-0.364,hyzoungdjw,0.1925,-0.4755,pfyexobwyj
33,CaT,-0.421,0.352,-651,-0.496,dmcgadhbtq
0.0345,0.2465,646,-959,ijhcnurvyo,zoidxsvhnn,-0.231
DoG,0.4855,-877,353,nncvxfaexz,bwevdxybxr,uwienqmnub
0.347,zgisfwpibw,0.473,-962,rjnvsotmqp,-840,321
Cat,276,CaT,mbqicijuvl,cat,caT,CAT
210,kogfjitclp,0.216,-301,0.3535,quehywlsdw,-0.0645
dOg,qpqejcaeaw,doG,-23,-0.313,pokcdniqny,ppaptxbfpw
fayjedesrw,yuolgpronm,0.2225,-208,cAt,0.1765,0.088
-64,-595,827,caT,0.4415,DoG,0.483
-0.2615,nnkllllivg,0.331,DOg,-171,caT,dOg
0.2785,ohbazzalgy,991,0.4405,463,-0.1865,enyfppsxxm
DOG,-361,cisdmoznwl,vdyxvjvbqo,cat,0.2875,0.121
-863,vmjlbsnagy,0.0935,301,0.277,-95,-0.2755
0.382,520,-156,-0.1275,-919,CAT,-437
0.3905,jzwbfflbcu,dog,tkllxyxmjb,DOg,0.3785,-0.1125
erjvttekqi,46,-887,108,cblabyfxsh,Dog,-0.248
-555,-0.042,156,omdjuoiebo,dsdpmqwptw,-0.492,775
