nksqrgliau,PET,eflophhhxw,xzmwlethaz,fejgeapwly,tpotfoguxg
mzwvzjwxii,Cat,hitcbngqrz,ifxtyhbduv,CAT,lwtsmkfzrd
shhbxpglyu,Cat,-59,dOG,cAt,0.2285
dtfczgmmli,Dog,cAt,vlcpxhnxpg,-0.4975,CAT
xzlmxkkcms,Cat,-185,iumcdwgoak,0.0795,417
Cat,Dog,0.0695,gjdnlhiqnx,437,vfqxylqoex
DoG,cAt,Cat,-0.109,jopxshllro,709
322,utcdoecuub,eitedysume,cat,DOg,vbfmsepezd
-0.431,caT,Dog,0.3365,-0.4785,0.0625
0.449,cAT,-0.424,zhproonoyw,cAt,137
xhbwufuave,cat,-0.361,kyprhmogbk,0.4125,427
mhyznenwwj,DOg,hyruskrpyy,-0.0485,bnneoclkqo,567
knrsvkkvir,Cat,iqecqufdec,kjubkisvyi,-0.404,0.1455
344,dOg,-947,dmfstolmlc,0.1165,727
dog,DOg,sqzjrxbssr,-434,vedxigploz,609
xjcnxdxwqo,llhalpcybt,-0.279,0.448,-364,778
919,qotyzxqiwe,591,0.295,0.2655,-0.3145
-0.255,cAt,-323,rffxuwpeiv,frkcyflgrv,fuhfisynwl
-210,0.4,Cat,0.073,0.406,0.118
cAT,rxibzhuxqr,170,-38,nebyctvvfr,mrpiutmxyl
-152,0.2475,CAT,-0.339,aumuyjqhqz,-0.1475
CAT,DoG,-398,-563,hejgwapuva,0.1525
0.477,CAT,nbjvgopvdb,jvehaoklpi,0.368,wbqmpzlgku
caT,Cat,550,867,587,shdqukcbjx
DOG,-0.433,-0.18,ulmxfnwszf,280,0.359
dyzmkgdyug,DoG,-230,caT,sxvhsnelnh,agewomubje
wsqlxjsavz,977,asuquumsok,vpfjzxpmsk,-0.363,708
DoG,doG,-751,-483,284,DOG
548,cAt,dog,-0.0835,kmyhzozbes,caT
369,dOg,0.3405,DOg,0.3045,cat
565,cAt,Dog,wmgsrohgev,gjknfcantp,fjcovbelxy
hszkfmvnit,CAt,666,-0.445,DOg,568
-128,dog,cat,-0.1415,caT,ayyxqtjfdt
-821,55,0.4935,-296,-686,-377
743,CAt,0.168,410,DoG,dumhekinyv
0.1505,Dog,cAT,sikdrutzil,jmzcqezacs,540
wyuwzcfeuz,-610,-784,mubmjqqnqt,cat,owjlujuwiw
qprdkvcccg,Dog,-638,0.1215,dOg,kogdtouwju
-736,CaT,-256,-549,-396,DOg
-492,614,DOg,opprufyyif,-933,jjvvuwanwx
-323,-719,-577,-752,rcgfqzlvoe,479
962,DoG,-0.467,132,-688,criowlvqwp
0.3975,cat,-0.085,-0.4925,DoG,-0.1105
