buxnsdxwpu,mzbdoebkxs,dqvoovpcff,ivxracydqe,pEt,qqxndswgre
-0.4485,cat,icboqawyfl,-0.359,cat,-464
-789,qoezakqavf,-316,497,-998,-37
0.393,bbeoujgeei,Cat,-314,doG,DoG
-0.1455,dkgnjckvku,owpflmjcwh,451,CAT,cat
DOG,Cat,674,-564,-0.3905,CAt
dOg,-463,-591,bkrmmpboog,dOG,-8
CaT,-852,688,ovbqqlgoyt,cAt,-0.4425
chlfmieeay,Cat,-0.0895,-954,Cat,-504
xysbgifmkv,-0.0745,-406,-137,DOG,-156
444,-267,-979,-0.0715,doG,-0.213
0.318,vmaitzqsgq,DOg,0.1975,dOg,521
-0.0115,-0.102,cAT,dOg,pdenirmojt,-647
rshistdizj,lkarqecevm,0.3045,doG,uzoyomddlu,0.153
cAt,-91,-0.2805,-0.1015,0.04,dxsbafpydn
0.334,orekyhfxdi,nfuhcwitdz,lhhuuvyrfd,cAt,DOG
gtlkjfvava,0.45,-814,xkenykmfvp,ufhqtpgkao,xuuwhgjeqv
DOG,CaT,caT,569,dOG,nrxvcxhzal
rlaemrxklh,-0.008,dopdnlhaig,qvgzvduwtj,xsjixpydts,gpkytwgzmg
tfrxvfxxsw,klcyunvavb,swsfazoizv,-0.464,Cat,-0.2115
DOG,ibuaypmxlt,-0.0305,dOg,CAT,213
hewajoxhvc,-65,15,41,Cat,-0.0645
-316,-346,-621,0.217,doG,-895
CAt,541,ohaylpkmob,-0.345,dog,-0.1565
-0.3515,0.325,-0.0265,533,cat,-0.367
164,287,-0.188,0.4605,dOG,ymexifkozo
0.3575,zwncssgkoa,ilglyqeklb,-0.2895,cAT,-0.095
DOG,DOG,tedzynvqbi,-197,caT,942
wjwqbrpsjm,0.3015,128,fimqsaekml,caT,-901
0.359,0.461,dog,syetqzjpre,DOg,wtypmylkgb
vhhvttcogf,caT,-0.447,-428,Dog,dOg
212,doG,zgflmegvsa,766,Dog,yimbaajeza
fwhlwjlqxm,mrtrolqlia,dOG,dog,cAT,738
-0.1,623,-941,-0.3655,-38,Dog
0.494,hyjeisuwel,vfzxqmwxju,-281,-0.4595,-222
foqvupiyly,-0.4955,Dog,389,Dog,0.2735
jegdnozgun,644,xfmeodbpto,venfmvqgbi,712,-0.0835
