epyqjmjfja,qsgrchfwpw,cmpcbvtzwp,yhpxgksphn
jbgkajuomh,-64,dOG,252
444,114,-0.4315,0.259
jwqvpwrjuu,Dog,464,Dog
0.469,-0.461,-0.276,Cat
astploxeon,-470,0.2145,wmnlpahskz
0.1105,0.36,xwniwywogr,-0.376
yqrpyqrqqd,slavauatti,0.4455,836
-877,hqsnartevh,0.4115,DOg
-0.17,vyjmpqknbk,327,tnztqffgrv
mujfwmggpz,788,150,509
0.059,0.246,tbmsuberbh,-0.137
hjmvziekpm,-758,cAT,shvernpeyx
igmgsyjnep,cat,-0.3905,-0.105
qenprwqjtx,vnwcuevpnl,CaT,ytfcveohlq
111,-0.005,srxtejmdxm,0.4165
-0.3425,dtmidxshjr,-566,Cat
sbjegkilvu,ckhkojdjjg,zhtmykbyjb,503
DOG,cAT,rqscmmcipt,-0.42
cAt,ertvvpsqsy,-0.472,knzriqgorw
0.2165,140,-302,476
Cat,zpzridyhbw,jehxhjdsin,xkrderlxuf
Dog,0.475,-595,Dog
ukwlemicjw,mldslauump,rcpgspgjzm,620
uyurhtberu,-0.1245,852,rhgyoukvje
dog,145,945,-315
dOG,598,kkkzrfmwnk,lsuldskesb
jcoptqoiwj,wkdrmbdgca,-0.1795,mxttrvnfbw
Dog,0.3505,utnlwejagk,64
dog,cAt,-0.2815,-33
Cat,dOg,DoG,mlouomxfhi
cAt,zgwqomtjjn,bghpkzhzfw,400
-0.4855,0.067,syarhkgilg,hskmvtymrq
fmujxsloty,0.031,0.221,0.0085
0.1155,mcisknofzo,-728,437
-0.2265,tryyjrzhna,CaT,vrlflzucuj
0.052,pyffwcpata,caT,CAT
659,0.3135,0.09,hzweqdzpss
-0.0065,-406,496,-0.1555
CaT,-675,okinebwpbh,DoG
786,yauonwbonr,-0.228,qepizmsxyn
tyidyttazu,fbqrrhcwpv,928,487
399,-522,vfywupkynx,cAt
-801,doG,-390,rquhnvfhiu
DOG,0.3715,0.031,-0.207
poycyluylh,bxsnaoieev,0.4595,-0.154
765,-0.4305,-0.1235,-358
494,0.2715,xcnenzsemj,dOG
-653,caT,gydiawbzpi,gzpfojgaez
vjgpneuuts,0.466,bwhqenunyi,0.3035
olkhjonqqh,-27,lwviojizbm,0.3435
-201,vigaiokrbm,mesgyskzsu,-0.2265
poerpmtrzh,xgyifbavhf,-0.178,-0.161
firufybtbi,-74,759,cat
-738,-731,fgsrbycobf,Dog
-896,tlmryclvao,Dog,-722
