djeylqelqj,jsdxzkrpry,pEt
509,imeyeqwirq,ouwtjxifmi
-0.3795,hrxumnoayj,Cat
ihqzkfhxiy,caT,dOg
Cat,-954,cAT
658,-0.215,Cat
zilwuxzlim,-152,nyeqbmerim
DoG,-293,dOG
157,942,DoG
Dog,lwlijmvkzu,Dog
-84,-0.1985,Dog
333,CAT,cAT
711,535,caT
DOg,0.378,DOg
-612,-927,dog
-0.35,drzrwlxwtt,doG
ldquqvzfjw,-693,Cat
-301,-296,CAt
-122,880,cAT
-0.0175,CAT,cAT
DOg,pbptzahftn,dOg
rexneuoeuu,nmxrkgqfpm,DoG
zqkahiltsq,ovfyczbpcd,DOg
974,-0.1555,nevpewutxg
-0.3845,0.39,CAt
-123,zrjkgvcvwe,gnasvxmhtu
-938,ctaojhmalm,CAt
872,501,CAt
0.2295,mavabykadr,-74
doG,0.2405,doG
DoG,yonarcjurk,caT
rgysvbvulv,dOG,-190
-234,0.2635,-980
Cat,137,dOg
tcpfrpelir,Cat,CAT
