rzpjgrubmx,bejrasfrqt,ahvimssxcv,flpokexjpo,pEt
0.497,0.3115,dOg,-422,CAT
0.0815,btsqdrcmik,-24,dOg,992
-822,-642,164,cAT,-420
0.272,-456,-441,ruwduluumi,cat
0.4815,-0.4495,-265,CAT,caT
ehfjfypyew,0.056,zeilynukht,caT,cAT
-997,-383,0.208,gaimyiivgp,0.3535
Dog,szkqhyrdrz,qlysgodqwq,-0.321,cAt
-631,120,829,-432,CAT
723,DoG,595,dOG,dOg
-0.1835,0.3815,kvrgrdssql,vzbbersntg,DoG
-0.11,wrgnmaqunc,127,mgnoblbxqp,CAt
CAT,-0.0155,dog,cAT,cAT
900,DOg,0.1785,bqinzuaxke,DoG
0.4875,998,-0.2545,iqvbqkcftx,doG
dog,dOg,-924,uuznduucou,caT
pueprandnt,504,-191,-107,CaT
dznpxfibjg,akixhujtxb,-697,magzrcfnth,0.143
-409,785,oquprbqbyw,0.0645,859
DoG,-0.2925,-0.297,cAt,cAt
CAT,252,0.365,-0.044,CAt
-484,209,rsethbpurz,-0.196,cAT
-0.2925,cAt,-695,0.235,DOG
ewnjdzzovb,dog,353,ddfnxxjzas,doG
140,CaT,104,vflnmyogfk,CaT
636,-456,lchsfalfbj,-0.035,CAt
204,ivfkycbybn,hacqskzrdy,caT,doG
-140,mencefscvw,-281,0.462,ouhxeoeweb
542,itmdabdjdf,0.496,0.4265,cat
-0.418,-0.4235,-0.008,caT,601
-0.0775,-817,299,-0.4455,cAT
-0.0975,zviknaaoeu,dOG,-663,dOg
758,adycyoyofw,uhwvazylnl,cAT,dOG
0.2285,-768,0.398,-529,CAT
qdyacssxrs,xdrjdzqgqn,443,0.4105,CAt
-28,-876,gcbjpecmyj,dOg,CAt
lalxevkuhu,0.3375,rgubifqmfq,DOg,dog
514,-155,-0.143,-423,-0.287
-0.1715,-578,jhlcfqoqrm,cat,dog
trrzmkngqq,0.2725,bcakhgkevr,753,94
-80,0.456,larxgmdmdw,-919,DOg
-558,xmmkdnaitz,0.0795,Dog,dog
dog,263,DOg,-0.099,izyveifzpt
-0.0325,hcfmxcrnrn,dOG,0.142,Dog
977,-994,725,cAT,DOg
CAt,dOg,woywqmjrkz,tosqltsyzq,doG
DOg,164,-401,dwcbfthiqk,dog
jbwajntksy,-941,-0.309,790,doG
-685,-0.1825,-811,16,dog
642,8,-505,bbrbvphbng,CAT
435,862,0.4045,338,zwohwplmtv
-0.236,dOG,280,DOg,DOG
zymdqzimnb,ymcvjbfnjz,47,dog,Cat
dOG,207,kisfzwmzxi,ooaeeeznhr,cAt
enqvtydmoj,dyuhswsjoq,0.3285,0.22,0.06
-0.055,-36,Cat,-0.3445,0.249
0.0615,-0.0795,raojxvdwua,vxrjagmhln,DOg
hhxeczqlsr,auflaovyqi,-845,dOG,cat
-0.2545,-982,ytuvvfylhz,exunmjqltb,ajugrwjxlz
ydbtpjwfuz,Cat,yflpzmddfg,0.0905,DOG
Dog,0.1915,xzvpxobbgs,-154,Dog
-14,-0.2105,0.4695,jmwvzwnnwp,doG
CAt,cxjykhnsmb,ohqdxgknec,-0.049,dOG
DOg,meisfczfel,-77,haqvyxtfql,-0.276
-0.381,doG,aitwymoezw,Cat,jokjckipqq
kjhnnxisml,-0.0065,-587,-0.26,DOG
