mgqjzwuqyc,qkjzgdiaul,jbaqmmexhv,uxdwwbqqog,ebqrvonyva,swexmymulx
342,eqpowoihow,0.328,277,uzljskjsjp,doG
0.4515,-165,caT,0.033,wiykqxjotf,969
obcrudisgd,upoefgcqvm,rjgffrjdpk,byxehbpsss,cAt,tpzdmsyhga
igejosaift,DoG,-439,0.4485,343,dog
0.4955,cAt,-0.452,DoG,-713,dqjaofacvn
-811,0.3075,386,858,-31,fzhjqikuug
-29,ipuhiratxo,464,dOg,-906,-235
838,doG,-435,575,-620,fglqzfprud
0.486,CAt,qnlbdznvfl,CaT,-736,0.2745
0.105,-0.3505,-324,vtwtsisbkr,hsgtdvhgvh,dog
rxhyifojkx,gdvpubkbdp,-0.1205,-0.2,dyjbxpvvye,0.47
dOg,Dog,-0.4315,cbljyfwayj,emvlpxypeo,rxdinaqahp
93,842,CAt,ahyhcjjfnr,-117,hdcxeifwml
-0.0165,ayigfsgumm,nllcewrchw,-0.4795,qrfksnsyxb,dog
-403,omdmslddjy,-966,-0.1835,ggdasjbarl,dvnnppnrwb
refejcvyqi,0.388,-673,cAt,0.0895,-627
-682,xsbwuvmxpx,542,cAt,-0.367,rzlkzdftth
0.1925,dOG,0.3665,zfgpmrgyma,-761,0.322
jrdxgghglr,633,982,tkijyiqgyb,-879,nstpivgklb
236,DoG,bsuvameomk,DoG,-0.4515,-463
dog,dhbmhbviyj,947,CAt,-292,-0.3795
-93,-46,Cat,eshzcnwtjf,-56,-0.0045
Dog,721,158,-0.1485,Dog,itkspnnkhl
njayelledy,fwmhbdhtec,tjtzdpluxh,-783,-0.029,-661
rdbuhcbmqk,doG,vhenjedkeg,0.397,-1,qgtxplyzav
181,-0.128,311,-572,732,-0.488
-0.122,-0.0075,myggobylwf,lswbynggxn,0.3505,652
DOg,fxpqhrdmdl,-756,DoG,0.4735,0.417
