rswglcwzrw,jqdorwzzpg,ufrlycxpii
dmtkcahwzw,-35,akhhlteirn
725,0.1695,-962
0.131,315,431
dpewhvguqt,-0.1955,CaT
cAT,829,jbtosyxxix
exmlfgddgc,218,0.077
-808,-487,-75
877,261,CAt
aeeimkzmix,uipsrplcja,doG
wdaopbbrzx,doG,-334
0.1935,-0.0135,-579
534,0.3375,358
12,438,cAT
Cat,564,yyzoqdkzge
-984,sibfzpyaru,-0.3185
mlvyoslecq,0.0805,0.409
CAt,CAT,-0.3845
0.3005,annhzncnnz,wdwhviktoe
oqhzrptiyg,-427,dOg
625,-0.157,zhbmctqojp
-0.0755,0.385,0.411
0.1655,qcvnpuyrbo,wszuhrhdly
qblnqnkmwo,-0.165,-264
dOg,spmkksarzs,477
jlhmsmxbif,CaT,-349
kyheeceihd,-296,170
ffmtdxkaxb,cAT,-0.1855
597,0.092,uaaworpatp
qwejsoxxqz,dog,0.063
834,CAT,0.3845
dOG,-417,-541
-170,Cat,DOg
-0.3235,-724,946
dog,628,559
-113,28,owsljgjdvm
-182,mmnjuboqvl,dOG
zqjmkpvcwo,hbvurwfgff,0.0035
428,0.3205,57
384,-0.482,CaT
dOg,618,DOG
-0.3295,DOG,Cat
cat,-612,900
caT,eqsrchroyi,514
orxnjqrbso,-847,Cat
-90,gfqcvljnab,112
kyrmdaxzyh,CaT,-0.2315
-914,dog,-0.407
836,-617,-174
109,188,qvarzkzjbz
-100,-0.435,nmulklaxxm
dntbxpfemz,640,doG
-180,713,811
DOG,0.261,fdedfajkip
DOg,Cat,-256
266,727,feqigdhala
-288,utmpwloiit,510
-521,157,0.2145
472,0.382,caT
gpyypqmdwk,igdysmtbxh,-392
0.369,-450,ajzlfbahqz
0.0315,0.346,tetysxjrmd
-858,upjwatsbmi,lntaxocypm
dog,caT,DoG
-0.257,eiycixbptg,dOg
-525,-899,207
0.124,pxyiulyfaq,847
-683,cat,ybcdqzqsgl
-806,-0.4225,CAt
419,bixqihgkcm,0.246
