itmwtwdszp,gqikjfidlh,hflwvmuvde,gowhzqzude,ynkzormfxv,iayfcnhmrj,donatpdmfl
155,cAt,sivsarulcb,0.1345,646,cAt,znmrwlrkxl
-0.4775,-879,dmyimkyiol,-183,tzkqiaitqn,0.3755,-0.0085
0.3435,xdepjkjiyd,nudxsiuikz,-0.0715,134,hmriawryfh,osgexdbzny
93,fecjwxjiam,cat,Dog,dOG,eaduvubfdj,0.4425
0,0.074,rthvhqetsf,mopbhurcrs,irlveodysu,533,0.2335
-178,-0.3005,CAT,maqweudocl,671,ejretijdwt,-965
bbvcotdxbo,-0.0325,Cat,pbjbavtioa,xeckvwofwq,161,ttkidyppsl
-0.18,-0.213,0.1765,bvgcojdpny,DoG,-0.221,sxyitqqwpi
-0.186,CAt,-271,xynumzauwb,-0.3605,imtmmaionk,847
uxdtkdcbro,dOg,0.324,awudmhxoto,caT,-0.39,394
grimwxhegh,cAT,-182,udwyonfixe,mrdnpzhqji,-844,-0.0215
754,dOg,0.3515,-0.439,CAT,-0.362,DoG
0.313,0.045,-283,doG,wsbaokgfcw,-0.4065,dOg
-479,544,0.041,dog,83,DOg,-0.231
491,olxizfduyr,rhnacqqkic,jrvfglqxin,bkbktrcefl,635,152
-232,647,0.0955,0.448,dOG,kmdybicjnz,dog
-81,fcnezlzfsf,-0.33,148,dhkygxedma,CAt,dOG
CAt,-876,-133,dOG,788,-0.2555,Cat
-526,0.298,-0.1075,0.4645,gcrojokbrb,cat,14
dog,oxutfhugim,npogicotpq,929,666,0.438,shjrpfqvce
dOg,xcthsowcvf,-3,-345,doG,-817,-820
uvwnbhnqet,0.2375,0.071,Dog,545,meplotqoyf,-0.413
-249,-0.419,hwobcyhfcr,DOG,euopdlouok,-140,ioxdtkrefi
-449,efesrgtgmv,886,asgxaczqyp,ompsjxugqd,0.215,-0.1415
cfpujrjrte,70,doG,lsvnlqasoz,-857,CaT,dOG
-603,aiskocjanc,0.4855,fyzidyrqrw,-0.354,0.292,-353
717,rcchztrfgw,CAT,0.112,583,402,CAt
erdasyyakn,0.3475,-0.493,637,dog,-0.1465,0.44
cAT,801,643,-0.1195,jgxsukpqqi,cAt,-692
-0.2215,-799,CAt,0.119,171,tbwrobqolq,cAt
0.2255,704,-723,dOG,826,0.1985,cat
0.3495,0.049,Dog,CaT,723,ictyykjsjb,CAt
cAt,cAt,htvumcadus,610,0.0645,rttusjprjs,339
Cat,oqzykmujlz,0.396,-0.2265,ekwczxnirr,-258,-0.415
pgmyqijjea,-0.225,0.4,whiolocfww,dOg,-0.0325,cAt
sdmjoikymq,apbecrvwtz,cat,261,-761,-394,DOG
gfstflyeoj,408,DOg,iojedsniql,shkkqnwshq,isjyhpncrk,-0.2715
-0.053,dbimqukbwd,xbnnuuallx,ddinkyfevx,-600,lpokmhrahw,lzeppqfdhb
hvhkfrugrp,DOg,802,0.1965,nibfvbuhwn,827,cAt
636,Dog,owwlxdigxv,0.4975,0.226,-749,CAt
0.261,pnzusmgejj,0.4525,wqhkqmvggl,0.172,quqkqgnjwd,gelltccryn
dOG,-0.028,0.3755,uqsucjirsy,0.3445,-0.1215,-598
Dog,-0.032,838,dog,doG,-549,-799
-0.1845,731,-312,-380,0.4965,-533,DoG
yqszlfekvg,-0.1425,0.3855,-0.0205,0.1335,295,caT
ezglfsxjpx,712,0.4815,0.2085,-0.35,-0.3575,cat
-576,phqrmkmhit,0.2605,763,mzigshmvtc,euadnrtvea,dOg
0.0535,DoG,zmjhnyndvp,jkzufhbste,178,0.236,-831
0.4205,0.0425,0.363,0.4745,jenoleqojs,nmbuqqqmbo,dOg
ohzepfkubo,jdalvbdrse,0.4355,cat,-107,-370,dOG
ayveydpyra,cAT,hbtqyyceld,nkencpwnri,314,0.456,djtjbyxvnr
257,9,-939,633,-319,0.3895,wistdoacnc
dOG,odpfwhinhd,0.443,dOG,cdlzhsugch,-0.213,-0.4585
-355,CaT,-0.421,0.259,917,577,-0.3265
-145,-254,wnyysljwde,-731,0.353,xnpjdotnjt,ktixivezsn
-0.292,dog,dOg,uhsmzwowrj,doG,nqhwfmrctq,syajlozdnj
dOg,CAT,josgotapxe,0.1975,-0.363,pckfjudxrd,imrjcyfnkh
-0.4895,-953,-0.0445,cjqkzuxyoi,cAt,-169,728
0.3685,yeutnvdjve,0.0935,-0.0995,945,doG,0.363
phrlzhqbkz,-0.237,0.4795,vtbauyoruo,cat,-0.4775,sjnrfzhejv
zuvjxknsea,omtropttqj,pjveroerci,uulxibkdaq,-0.4425,0.299,317
814,cAT,ukdcfhlwka,982,ypepgwoerp,0.432,-346
0.148,187,-506,-0.3855,-0.0215,CaT,-260
dOg,0.3055,-578,caT,0.063,wciapioiab,-0.4895
qaoqydzepl,0.3835,yxwlutiikr,520,-0.1735,0.35,-0.005
0.4135,668,dOg,-934,-787,0.108,-667
624,-829,jrjdvvcrsa,-0.429,0.27,-180,dOg
