nnqljzmumc,palrwpysgo,eqjvyqmodm,gjsblftduk
510,0.3115,0.472,38
518,0.279,782,ldipbzcimn
-379,-740,399,0.239
hmfzbxbsbx,jsjgluoqbs,rkuxxoftny,izourxeidt
252,411,-0.3325,badhchkgxd
-0.032,CaT,-100,690
0.2525,0.1395,0.444,doG
-0.49,dgkuawutfh,Dog,-0.3625
dqqrtfpdzt,-0.3305,-0.1455,dOg
-503,0.137,oymhsprcwg,878
-0.264,828,amufpzdxsg,-0.4895
bblooocdrf,zdzurpuunh,-0.3145,iprgvvfdqq
-0.0265,-0.0305,602,DOg
CaT,-0.128,636,ebythjriua
cat,pqucwnyhbo,439,-968
-346,89,vbwohakyuc,Cat
0.1695,-423,0.297,hlnwcxmmtz
-0.2355,681,cAt,usyxjltmzm
dOG,0.119,dOg,856
dOG,wdbuipzqjm,-910,0.228
wmizzdhtwb,hdistrmhuc,-0.268,-335
ieagloglzj,-940,pagywyfnkk,0.2405
DOG,Cat,faecvyjsul,-777
290,CAT,qvzxjhwbhg,0.073
-0.4335,unbrztxxcd,364,newtcsmvnb
xvcaccgcwp,htvjisfrok,-538,604
0.1995,-297,obthjygnaq,0.1905
duwljugszp,wrklndfqmk,-0.409,aikxtprpjh
691,hdoesotqke,aejlzdcbqg,yasxezhxsi
-0.064,0.483,-100,-823
-686,cat,mmmenowiqk,qdvsswhtvy
-0.2145,DOG,-748,CAT
