fomdwnhllj,eayvtpopwo,pcxmwntryb,akkxzruydj
522,-989,-535,676
-0.0905,0.467,-0.2215,257
yrkdgjmghk,12,0.2935,0.302
-0.0225,-0.1975,0.04,xakjnudrcz
-75,-0.0735,DOg,ufpcqqqmqu
99,-0.472,DoG,kqvkmzlrlv
phzoqiycif,-0.2635,0.4165,-0.311
-406,Cat,dOg,yeqtldqnle
88,-864,0.4155,zvwlramwlt
dOg,-933,DOg,tqpgwfrjtc
yrpyenefwn,0.129,qzqfqxpfuy,doG
775,-0.466,-0.4315,0.0605
iibwtmuuan,cAt,cat,fxlzkxlqdm
-0.084,700,385,zjfktvdxmw
-911,615,0.4625,-71
-0.2365,598,-223,znocsghagp
-708,-0.2415,-1000,DOg
DoG,CAT,tvypwleycm,-0.0045
-0.367,cAt,-0.3085,-997
-0.036,-681,-814,zstfeaxfjz
655,0.4885,cat,cAT
qltufiybte,886,-79,-612
DOg,0.163,-904,-0.265
doG,pitliyxtji,sefavaiobn,796
ucgcdmbmxh,-0.4335,0.2405,-0.387
CaT,uhvyietidf,cAt,-0.335
DOG,givvucrqju,292,-878
odnvzcasea,wtcpdtpbwy,-0.2495,530
-0.245,jluyhkjtzh,apotebdulz,frvkxqozwt
Dog,uvzlzshora,-0.236,lekidwkebc
vsxthkocon,541,DOG,efitinkhuo
-0.1385,-0.012,yakrerjdmn,763
-441,0.3955,702,-0.333
tvwifiyeit,912,-554,-99
Cat,238,936,601
-243,-244,DoG,dOG
0.0005,DoG,-259,-691
lqxoduckno,CAT,-481,-982
0.353,0.299,tsrkmlhjog,-783
0.106,-0.381,ydevznbuwj,-0.2265
evilwmxjzq,jwoonlwptf,0.3285,dubzekvnqd
wwnmxuqbpb,mnlzhlxtjy,-0.356,yfssxwbcam
lxonpvteeo,puevvpailt,fwklbkwzhp,caT
DoG,pzvphsloyh,-358,-0.4835
lxqpreqrnz,0.3385,ctblojttjn,-0.0495
Dog,-308,235,coetiwxglh
-0.0195,-636,-0.223,chwpdteozn
zojwtqshzi,rcgqahnvnc,CAT,cAt
cAT,doG,-568,0.4125
-0.0325,fsnarxjlrc,-0.4665,-0.227
0.0155,CaT,DOG,-420
-394,286,sbmhkiujly,mkrqogedue
-946,0.377,-0.389,101
coeaslkiql,-168,-0.295,CaT
-0.069,-0.445,-31,Cat
0.4925,rgxwlkdgnb,0.342,-0.1935
-928,-0.2685,79,eqphlvxlhk
DoG,ovlcdvoask,0.2975,uklwwxaigb
rxxcrglnrj,0.3505,goxpdidqwg,-0.097
nsilvhdjut,dOG,-557,DOG
ptipodceio,listvoamza,jgblfjvaby,grcdmushcq
-0.055,DOG,0.043,tqnkcffbjp
-0.0635,-0.225,oeodxxwepq,-758
-329,vhjuuojnyb,DoG,-117
xgymfhzyqx,-0.1315,592,311
-0.2235,wyjopbpckm,iacuzgujxn,0.0875
-132,-0.0995,-0.119,905
-966,-0.085,-205,-885
784,-801,0.0655,caT
0.1655,851,-0.3735,150
CAT,luyqgusolt,0.2395,-0.364
nblqmjtvao,0.2895,504,-0.386
nxawytcluh,507,tnytohzmur,66
lmuqtzmbcm,diouuivjqd,zwwobwqoei,Dog
368,-0.117,sirxmqrbyy,CAt
cat,umznenhqnu,-0.025,0.035
-0.354,-0.2095,zdugkrjquy,556
-258,0.1565,qbulflotmm,-0.4475
dOg,-410,cAt,tulkpeooqy
665,Cat,0.341,CAT
349,gjcbtzddgz,798,bchjubfkzs
0.0905,-920,572,67
0.426,Dog,Cat,131
doG,CAt,tyaysmwrds,0.331
-0.1035,0.0635,rzkszyipzp,-962
mekjpvvfzw,caT,-633,0.146
nogensrast,-0.49,CaT,swsjyhpgxt
-0.2165,dog,0.25,-0.386
0.007,rrjvmrqqes,qrrxsoovfe,-0.4465
-0.238,-875,514,gbbhzcgiqi
896,294,cdfklgcggs,305
0.404,0.362,-0.4815,rurhrzpfnf
-688,bvdgkeoynt,0.1845,hzdpqyidgw
