PeT,bqpoajdzis,dugwsyqtdt,piweryfscu,mnykxbmkun,oygknppmpf,wiyddbmwpp
CaT,hagvgrmthf,-0.2255,ktidwakdsz,-0.479,-540,ejqrrrgeiv
doG,943,frdmqoibzw,CAT,-0.2985,-0.282,Dog
cAt,uitmsevnuy,0.1255,-0.257,-0.206,-0.4915,-0.19
cat,-0.3995,jziagshvuh,178,-66,huekgcuzod,-0.2135
DOg,0.027,ftuxohrznb,0.2015,ooeyctrpgg,-876,DoG
DOG,hqfuoshkfk,944,gmlfsjryfy,-724,csashmgiko,576
DOG,0.3455,snycjebsff,312,Cat,0.1245,CAT
639,-0.363,184,cAt,-424,138,CAt
cAt,jwuadgomim,vqmvafsbyz,0.09,kbkbdafbql,Dog,205
CAT,lcxuuphvlv,-0.236,caT,caT,-129,-78
dOg,momgintgkv,235,0.0675,gjqxkyupgo,0.4105,-666
Dog,0.385,ijfvlkhijk,aerakbrhdl,impmvyircf,-0.4535,vrhupxasjo
0.059,-844,0.352,106,-0.0915,caT,bdkscojecq
CAt,vrxdpydaho,0.145,-0.4805,-0.2225,790,gscxqrhnds
dOG,ayaajtozjf,0.08,680,-0.005,652,-0.202
cat,767,nvtvehldef,466,-0.4505,0.46,CaT
cat,-720,caT,-0.115,0.4385,0.4345,dOG
Dog,-92,0.153,-703,CAt,ovixgppnjp,doG
-0.2465,-0.3185,-0.442,353,-679,dtmralidlg,afntmncqrt
caT,0.1885,pcujhjemsn,0.29,-516,xxthgzpbfc,Dog
DoG,844,0.4995,0.46,-712,0.2175,447
Dog,0.265,51,0.165,DOG,-413,-0.224
doG,-438,940,cngvjmthha,DOg,-583,-0.4255
dOG,-0.0405,498,dOG,pprcaiuasr,-282,29
CAt,-0.1685,dOG,mvqlbajmzj,0.3755,wnrzmzmgjk,tftawgdzbr
CAT,842,dOg,0.3035,-563,fsjosrlydg,-674
cAT,nuyamlqrxm,hlployxvoa,DoG,amfonnmzup,zkcppfopti,0.37
caT,aemzdegrjc,fzfkwuakts,ocadsqwjsr,DOG,panghlbbbu,Dog
cAt,jwxoqrblio,hvzoamtnyy,eqavyzendf,976,gquyhydvig,dog
