hbywtgevoe,cwpumkjvdw,vjuherhuwf,ofiamsqjml,ghbpxwvcds,kkonoleihj,pvqgpmpfqz
347,0.1205,jtxowllotp,-46,fulhlomhgu,totnxpwaae,npovsirkpo
900,-795,0.347,cat,CaT,0.1025,0.26
520,677,106,-68,0.212,opjhyxngap,nchvfjvmyn
0.435,0.195,-0.482,-113,gnkwncqjww,-0.2455,-0.2245
Dog,303,dvcmmssgkv,rmscjrkwez,-0.487,-907,-242
kgajroolfc,486,wmdmhwhihr,Dog,-147,dOg,0.028
DOg,cesizayckl,dOg,-129,550,-667,83
0.2065,rzebfeoicn,cAT,0.0395,CaT,-850,mkunhshkxy
cAT,0.384,toyemnldcg,0.0945,647,orviomkbfr,885
-0.498,svinctemwg,725,-85,-0.079,cat,0.152
CAt,tnpphkhdwo,0.173,-0.394,-0.3145,xjccrziuyv,aidadcsnay
gffapvlilv,bujryyulnn,-23,-0.442,doG,doG,-0.1315
DOg,DOg,xidwehyyty,xqvnwlwsgn,-0.497,-0.0715,vmrwvxyoem
0.105,hjwxxchgcw,-0.067,cAt,-927,-0.1275,0.2855
doG,675,klvgpfctat,iebwtjpdxd,-0.109,dOG,cat
tsrmhbsezy,Dog,CAT,tnmihlelrz,-736,-717,551
-134,764,tytfshjeqw,DOG,-283,-655,qgkviktbuo
70,DoG,0.1875,632,-992,-962,ihbgwmfesw
0.0745,-409,nibyhyqqfp,47,0.069,CaT,zahbzwmzuw
wjfisfiytb,0.185,-0.4955,-302,625,uekkhrjkyc,-0.1545
-970,CAt,cAT,kyzrmrsyfl,-53,DOG,-0.1385
eyiuxdybhw,vswvzskdiq,322,302,DOG,stzdaebkme,cAT
mbdckcvzzs,CAt,-0.0895,0.161,rmayfpasiy,-0.2445,889
0.3285,-0.0605,nycnzogljd,dog,caT,0.398,-0.2095
0.475,nrqvjjcuiq,87,-0.369,CAT,0.3985,CAT
znwxbpwaxf,oqvjmyffxw,uzpukiuyug,dOg,0.0505,613,914
204,902,ayemjooaem,CAt,jzaebmohuk,591,903
hbntaorogl,0.2465,uhsmsebxjo,CaT,syrfyvntpq,fshscthkwg,-770
caT,-107,-29,809,CaT,ggaynphnia,Cat
0.186,0.319,157,0.0375,dOG,wgcyoucsuo,rpvjvtzsnu
-0.3045,-721,708,188,913,0.4995,-913
fvmzkjtqwv,mbkirvupmn,xgzioeijjt,DoG,0.4815,pknjdgfjzl,-0.4295
CAT,ndqctfmdwx,-204,czdjccvltl,owtubpjqnq,ediwbmrmbm,0.16
-544,bbjtxdryia,DoG,svtqpwxpzu,-0.0905,0.372,jzcrupwnex
0.3115,-0.334,-163,887,-652,CAT,-0.3165
139,0.1265,-981,Dog,-422,dOg,-365
-0.1365,phflmgfjys,0.094,guovpkjtgu,-965,-0.0935,cAT
vupqcqutym,lvuumpgiry,kpsudeumre,cAt,-0.169,460,bqipduhbub
movaafxghr,-763,DoG,0.363,0.21,wapjsgzcjo,-786
caT,-0.466,-629,-0.197,whqaimlrir,0.006,643
qrbhragbbc,wzslugadec,iwsdhlqznf,-268,sipwbediib,bpndzyvnwc,0.204
0.257,ihkzdbaqyt,oplgnzwjpb,0.3915,-764,0.459,0.105
-0.377,mooaxqyovl,CaT,-0.2435,-0.075,vhawirfhug,-0.3595
273,gbjacynoey,-145,0.1715,Dog,340,wrvnwayjcc
cAt,-47,CaT,bfizulnjoj,0.285,-0.041,DoG
caT,284,459,cAT,0.4755,DOg,vslgbcihpj
0.4845,eqfyvaidnv,-480,bxksfpnvzr,-0.215,799,533
0.3835,0.306,0.0635,-0.084,-0.261,0.244,wvistdtdtp
dOg,kzyotgsonp,ehoquwazgm,dOg,-0.0015,0.3245,327
-301,cAT,841,yeomedkicg,-0.3545,CaT,iocjlxncre
-0.2995,jhqepuwcae,-0.354,-845,dog,0.4405,0.4355
-0.137,CaT,-484,-0.1295,915,DOg,163
msqyqqouzs,899,0.3545,453,fbuzbtkfha,0.178,50
-0.4735,657,0.3495,elqwrbiqjp,uqepxqsank,doG,-200
0.111,0.371,CaT,laldivqapr,0.147,cAt,Cat
dwdpuqanee,48,tgywmplrjj,owvmekkqwk,dOg,-0.346,0.474
0.4775,rvqzopyjvc,228,-58,0.315,cat,-0.178
145,-190,rviaimmrtu,0.258,cat,-0.1905,-0.259
wujbdhauxp,313,dog,758,0.4845,sfhikxdknx,cexxlfplmg
961,-0.297,zsncjssryc,-0.4555,-0.3935,761,CAt
-595,jncwdoxoqv,cbpztzsehc,dog,CAT,389,-300
cAt,Cat,-163,89,nbymzdsxkf,-356,0.418
-0.313,ylnpvpqblg,0.3145,0.232,dog,-0.3405,-630
hwzeawopsf,-0.313,-0.337,tzfocsvond,DOg,gapnvhzxsd,gzbzgmzkhs
-134,dOg,231,0.269,-0.1965,-518,-231
906,-0.2675,-701,elfsnpaeyz,595,eouvwjtrfd,0.311
uogxgshikk,cpyevmntsl,0.0375,DOg,syxqzhfjog,-0.428,359
sgdldctvki,-0.264,-975,0.1655,-186,uuqytftlbq,ydpkpvrvmg
654,204,-326,0.4685,943,0.206,91
Dog,-112,CAt,0.399,0.419,0.403,304
Cat,-406,0.42,501,0.09,dOg,cAt
aevthesswt,cbqcnbaxmu,-0.495,-162,0.1,-175,0.2165
-0.1145,-0.3265,960,592,-626,0.2795,-0.3485
dOG,kyzmyqaofv,zbnndulqbq,-276,-0.3425,qcecrrrddc,hwnyhrkslu
0.2485,878,-0.4,owutvyckty,683,0.1475,hzswmsmtvq
Dog,0.283,svritnzqfm,umoriobjjz,0.139,okmcfpdpui,262
dOG,0.4165,-0.2685,-927,cchrsomtad,lutodnyvwf,-524
-0.052,dOg,-934,252,CAt,287,jcipmlsqci
