olzuvqdtck,qusmlqptoa,uhvucnmhcb
195,Cat,0.1655
Cat,840,-0.2075
739,CaT,mctdwvsoxb
0.4545,fjvbhxgobq,-0.252
CAT,-971,-172
eikkjsyfyf,273,271
uxswhamvzj,0.0495,gumvrhztsy
CAt,wlmmypibzd,cat
0.3035,82,Cat
0.2275,-0.357,ciiwthtzth
qntavjtppk,-0.3265,cat
-0.0085,-0.062,-0.0335
778,0.295,erxaftrsno
-110,0.464,caT
cngkxlgcra,dlmgpdvmpp,892
itjvkuwqsz,DOg,heiqrlrmdd
xccfmztqnn,-840,doG
665,-0.226,714
-0.2325,ucretpnhyi,-153
doG,caT,831
ynwmmauxho,xfzawesezo,wbloiyaogn
jeubngnvmm,npyfynacjf,xcjprpuwjs
vohpflftir,iqkywijlrs,-0.076
268,oiqjdnnuqx,jhbaovuhzq
-0.3555,Dog,dog
0.1935,dqbkkihiib,-0.164
620,dOG,qobudubtqt
-847,lzdrexycct,-0.2145
fbarrmpati,-1000,659
-204,-912,0.36
-224,766,817
-0.035,202,674
0.17,kexfoggpjx,-0.3615
47,ukekhvjimi,0.3875
hxlcxqyqut,108,654
kuhtfjbcez,dog,caT
jcbqdccpvd,hxhomockwm,778
CaT,0.469,qtfbxrbfzg
-0.0205,356,-872
caT,54,-72
jqjecujsub,51,0.239
rpsetrjdao,-0.2945,-414
258,lsaybyxfkq,uvphfzznjw
-0.009,0.1095,-212
-468,rekfeghshp,-0.353
-0.4255,Cat,0.431
rgiwwbpmea,0.409,-0.143
-780,-0.255,-707
0.105,gnomjkmxmy,pmnmkpyyqw
cat,309,Dog
-556,0.1075,0.491
cat,vygradqeim,jwuningsaj
zvvoodnzxh,cAt,949
-649,xrmcjprqql,-140
DOg,0,gcpghaxyrf
-0.4695,cAt,vmdccsgkly
-13,bfdfaozkgl,-0.214
Cat,qoogsevqyw,-274
vfnmahlztv,773,errviztuod
0.151,-494,dOg
-225,744,-0.1435
qnpktrdpmc,0.0715,ngpazgdxvd
830,-0.0245,yxwyosabvi
60,-0.031,-268
caT,DOG,cnqvnkxamv
100,thkmvnhuxi,-229
606,-0.252,-707
-131,-0.148,DOG
cAT,0.3755,ridjnfyqob
blpdzeftvo,DoG,-482
yiqaaufaya,0.2825,cAt
0.3345,-355,-0.076
