ieacoyzwfr,jowovlbfnf,ojblvervxj
-341,cAt,0.03
359,jgvucdjbma,-0.4435
-939,0.1445,259
mmxdvdnqzz,jlwefwmtqu,-0.0725
dog,dmvswhmgov,-0.0785
-0.309,ydgnddhahu,-715
-738,-0.34,caT
266,-467,rmqhsehkai
ymcowwwdgz,nzeufudkaf,-701
174,994,0.27
0.174,jpvltonfjd,-653
-754,-99,idblvvzvhc
DoG,dOG,cAT
-619,978,doG
DOG,-0.472,0.174
69,doG,-0.0425
24,zaaygmorxb,dOG
fqkzzodgyv,mztmbhymmj,0.472
-0.393,-0.1025,DOg
829,gwjjswcmic,nyuycofykr
-0.35,dOg,703
0.3645,CAT,dOg
410,-921,0.2815
DOG,svrzpgincc,qtnphdnovi
caT,Dog,0.1865
buwnvkisqi,-0.2,933
oviudoarns,-393,-725
cAt,uoceonimhl,-0.06
0.3235,-815,-0.0665
-34,0.1215,559
iiexlqmmer,-0.3625,gvoqvddioi
-574,zpbqfhltcv,0.1215
-142,-0.317,-572
dpklnucsef,-637,uayvycftrh
enqhpvqggj,62,-414
doG,0.3335,-0.3435
-278,-54,771
251,-0.496,cAt
jjsbggsuyj,cAt,256
unppmujxsm,490,Cat
-419,-0.009,ysrmitevnm
-138,-666,cberpfumnl
0.2085,477,rhkgfmzeyb
0.2285,rsxgbibvvn,289
zulzzulzwj,721,psuzbeqclr
-475,dog,vzummavidn
Dog,0.2475,-220
-563,60,915
972,0.2525,lpqvejngfq
-49,-0.0485,svzsriunmr
0.432,0.3075,143
cAt,DOG,-502
CAt,urtrgcfggj,-0.2165
edifvhqxrb,0.247,-863
anpibbwxvj,0.2825,913
doG,16,449
0.4585,-813,0.427
