cruyijhmtf,enpyeebjfx,jhrkqwrjyk
cAt,-0.411,-304
791,-166,doG
dOg,lmcbqpdnqo,640
159,0.195,drgyblviar
-0.1695,0.1205,-0.239
119,dog,-0.4665
dnxuzvgcfi,vxipoulayh,0.042
ycgxcglllu,ipkgfwvozz,cAT
egfcmgzeoo,aubqkubyes,967
-930,-0.1895,355
CAt,-0.1385,caT
apncilqtny,-832,-698
djjfcvhtrx,jbkxxrsqjd,745
95,0.244,dOG
-168,caT,cAT
-0.0385,-0.3485,joshqhqejr
-0.0325,DoG,0.211
-0.2275,-0.2825,Cat
285,0.417,oxdrhdrlan
wawsfcssdb,-251,-788
gdhvhakkrn,529,cravcwtaih
-0.395,-0.1405,-907
ywbnhunuzv,achuswsudi,Cat
0.0565,gdjqykmbib,-709
-0.476,eckxkewfiy,-0.333
0.368,qosvhnlynr,gjwaqjvykp
yfleumzntu,0.002,404
ixsspspumh,-384,0.234
xysmadjzmi,334,rmpiipfndt
DoG,-0.0045,0.2935
tfgcfftdgk,hthjvodowe,0.012
-0.409,566,-0.11
178,0.407,633
uutejfcafm,fohtaetnki,0.3265
0.414,384,xjpzyxqogb
0.1145,caT,601
xklqjwxymg,-184,dOg
caT,-60,DoG
hehgcejmcq,0.3005,msmghbqwel
0.0785,hemrudnfnu,-268
oetfmabegc,680,kddygwruoo
caT,-0.1545,-0.4695
860,-0.3155,bwvplludao
DoG,cat,0.262
CAt,rvtyflidmn,glifkxmfcv
-0.0495,lbsmdccnsy,-648
-95,-0.167,caT
cat,0.312,-607
lthgskbfaq,dOg,qxkdgzgytw
cat,CaT,xurdkpykwg
gkfgjavmgk,-0.2895,-0.187
-879,20,-0.386
CAt,-646,nwbjugffzq
cpzwzaahcy,igrergcedd,-678
0.2265,0.4355,-616
cvzyrmmecl,0.1565,797
dOG,0.3695,-714
-0.1775,0.496,-811
wjjlhkuvzx,fgmdvxmqca,-170
ggrxzspizu,cAT,-0.03
ebriwdwouh,0.223,ljrizzshyy
0.352,867,doG
835,698,CAT
-962,cAT,-902
-0.0775,ojwutxppll,0.099
caT,0.293,-0.369
bmvogetuso,140,688
-0.1315,-0.3865,CAT
qsecerwwqg,dog,zdcamirkig
0.4295,caT,yffwvypwtw
-226,102,122
-476,Dog,-0.289
