wproniohoj,xrmzdsmwdt,srrzjgpzqd,iigqzfpnko,nqbllsgvqx,ggisjsrusg
151,986,-738,-0.1365,usqrgbeial,-0.2955
-465,cbdciamxlb,608,0.0715,vdyhlmvevy,bmrscjfyuw
ysygrcofzt,ehxiiukspw,Cat,CAT,-0.221,cat
152,smscxiaetp,dOg,-161,0.019,rkagntqxzi
-384,CAT,821,iasgdjcdwi,-812,dOg
suanlwmeoi,-858,-0.0355,591,ryuwbzlqds,-0.222
kvfojzhnrx,caT,-0.242,cAt,yrzfbwenna,natohweuip
0.312,-0.125,-0.3485,exjnmqesto,0.172,779
-0.432,722,qtqdsvxerr,mkfmrgrpkl,-400,0.2575
1000,-0.0345,127,dog,cAt,quebieyuxh
dog,CaT,-132,-0.423,32,DoG
-0.454,507,0.442,0.287,81,djzsvocymf
0.037,-0.4205,qmenjcwqun,mcognotivk,zhiqejpsml,oxfssnitzu
tzrvzjcfru,pczstkpznd,186,324,-519,469
-730,hpwwmbfwhy,DOg,drbrywxbub,girnpscvpk,CaT
86,0.0895,0.415,734,pfqdaqirqk,-902
DOg,-0.4695,-839,vrvjgcjzpm,gsslzvdjcp,dzmqypexda
0.3485,-0.186,-0.2675,ayqplxilgm,711,sjifavltep
-0.226,-489,jofnauvupl,xpxxjsfldg,720,dOg
0.4175,-18,zxwprpqgrg,168,mwupcfdbew,22
0.357,cehbkmdkyw,wysmsyavfw,-0.1465,rlketsyamb,-0.0205
642,DoG,cAT,29,-0.4345,0.2125
tmtnsvibfy,sjrcjpdhfc,CAt,0.083,433,Dog
CAt,cqzaininim,-0.2365,0.3585,dOg,-0.128
-0.1825,Dog,0.491,414,-703,0.301
dOg,okjzqdmrrd,fnetazhynn,CaT,597,-759
0.438,hnjzbpuakp,-323,zstutylndj,-0.45,fnpsgomhxq
311,815,-804,-695,ktrjapgehn,294
-140,Cat,-0.4795,630,-404,-989
0.399,fnjwbpgtgu,igelmcivds,0.382,dog,iqkeciirwk
cAT,0.0465,-0.0115,oqozdugnrv,hthujkudfq,-0.0265
123,0.246,-0.045,0.0345,xnlpwrrfyc,dog
gdvhzhseym,CAT,tgtfqdzghe,CaT,-360,0.0565
isttltiudu,591,DOg,873,0.379,hgmxrrmmav
0.299,0.322,Cat,-339,266,doG
0.174,0.045,sdfthzvuss,-656,dOG,yvhvwyvefh
-0.3415,-0.2905,bunogfsool,-0.168,0.3025,CaT
rffcmsnqzd,0.0915,qqaxwreddk,opwochimik,tmpeefmfkn,-868
xgfjpuvckn,-0.059,jsfmzeigpz,-572,240,xunqecbzaj
-0.201,-0.336,jymogwkbtm,42,-681,-849
-0.314,-907,-58,0.493,-560,0.115
CaT,qnnirpmwsg,726,667,caT,ncvowuorhp
tvstgztsol,-0.4325,0.4345,doG,698,-0.4285
iclrhjaavd,uraqqptvoz,0.1235,-0.4765,0.1365,cAT
416,mtekxusndw,dOg,0.291,ujcftvqkwa,pfpvknbhzy
aiiojiijgd,632,0.184,-0.3435,0.2855,zxyumoilra
-0.034,lytclxvqhy,0.024,490,-0.3335,-0.0695
mwgnvesmkx,ytczldjlrj,0.063,0.249,0.1275,-0.1265
-0.191,-0.228,685,-0.037,0.231,0.367
0.465,0.332,qytaaladtb,DOG,gdfditgavf,146
dOG,527,492,417,-0.215,-486
vbknhdnltj,DOG,-0.409,bauqxqvnso,CaT,27
onwcuueinw,-0.036,-0.001,-827,idrtnpqsad,-649
onfrfipuzm,ohyamlzcka,mwxxccgnyz,mhirfirvtv,wqfzvbxhvl,bbvordxhrk
ibkckhckct,531,Dog,-422,ypftzzugrt,rvynfvjdet
0.208,-0.077,DOg,0.174,dOg,CaT
cat,bwgvkszmbu,khkrapmtec,-277,-0.195,0.4745
495,0.1965,-425,dog,108,434
-304,29,pgoifzayei,113,CAT,-0.232
17,uuaxenieys,-371,0.454,CaT,-614
-733,qnmqcohmkk,weiuwdhind,628,-0.3115,DOg
boktvizybh,CAT,yfrbihqwng,jdtqbqvtnu,-193,-0.3905
0.385,-913,DoG,DoG,-0.479,-0.186
ufpjilclqa,907,cAt,0.399,ksakaohdrr,czackyecig
-0.43,cat,683,-0.0925,noufqidatn,0.1455
zszwylnaoe,688,-350,0.1615,nqmliitkgv,-222
DOg,qrmxlpotwt,365,0.496,-392,cAt
doG,CaT,dOg,0.4725,-810,tkhruoittw
ijdenbywuj,CAt,-0.366,tsmsqbuzip,pdnwpcuyrm,cAt
-591,imfglputms,-138,DOG,gkhjzcbyej,82
dOG,-0.354,-605,-144,481,tbrmjyicja
byxnslwsud,-0.07,avykgcvejq,irmvlmosaj,gzcnvxxzrk,0.03
14,-0.3715,-0.06,CaT,xaxhcabyxm,psvbqhwnfd
-945,fnvobxdpkg,0.473,dOG,0.388,ahsfeaqwli
-767,0.114,685,0.2795,49,-0.3945
Dog,-0.1365,0.3595,366,caT,0.3165
0.244,vbwwkdfygo,zlknuwzltg,-441,CaT,261
esprutprmm,424,-0.402,cat,CAt,0.446
DoG,0.478,dwxjtvdxxu,-0.0235,290,yhcyupsenh
-0.315,jwstfxscab,-0.439,caT,DOg,0.017
99,cat,rupuhgherl,-643,dOG,973
-0.4865,CaT,-466,0.1455,wmmylvzbcx,394
