shwjemsbiz,nwrueqjwhg,pEt,ykhomrnwrc
apvqcdtajb,683,dOG,0.453
0.364,0.447,dog,-114
960,-0.283,dOG,-0.0835
cat,294,CAT,-521
cAT,jtjmqjbqea,cAT,Cat
wohjtouspc,cAt,vwmrmnhiri,324
-0.4845,0.4435,nugazxbxoz,rdpolriiru
-0.0715,zfrswafpla,DOg,Dog
620,-781,cAt,DOG
656,-462,DOG,hdatmhmpwn
-52,vfekgqhloy,-0.378,933
142,qnwdhulols,dOg,-0.369
gvbpemdsln,556,DoG,-0.2805
jrrvgrhnel,0.1305,DoG,-707
-84,CAt,DoG,iedtzmxftf
-876,-801,CAt,lggjqfmovy
844,986,DOG,-0.366
cuqsbjznzk,CAt,-0.297,585
0.447,-0.3945,cAt,-0.497
dOg,-931,-496,40
558,Dog,Cat,468
-532,dog,DOg,iisykwbecu
120,777,0.4055,Cat
0.208,cAT,-0.2075,0.1485
ychkrccwio,ukmtjwuopf,Cat,261
-446,caT,dOg,-61
CAT,-0.4055,eoicvlqsos,0.084
-457,-0.0295,CaT,509
382,DOg,caT,-339
-729,247,DoG,18
pscxctwlcc,65,647,ehreupmlsn
-887,-0.128,dOG,-656
CaT,hmfalcsppp,0.302,0.081
422,-504,CaT,985
xicpwkekeg,djfqsztqzy,DoG,xbobpevadc
nzixspgyna,-0.0955,dog,avkutiibti
-0.1885,673,DOg,-0.09
-0.0245,725,dOG,0.1405
-760,601,dog,jzmcdctlwo
-123,DOG,cAT,oumtlpconw
dog,cAT,-439,cAt
-0.305,irvtaejxar,dog,gqvjwrqhaw
CAT,-288,DOg,-0.287
xavagadaxs,-983,DoG,xeyyyozdcs
-530,0.2775,cat,-183
-616,dOG,doG,-951
-0.4675,lriechzamg,DoG,jqjbzjjfdb
amgvieowkq,0.339,DOg,350
0.0785,hnhpidyysi,Cat,mqrcpsngpy
CAt,ntzfzlgvra,doG,DOg
549,Cat,Dog,0.1905
CaT,0.3665,cAt,210
-0.189,dOG,Cat,-578
avopjlfdiy,0.2255,cat,mfeobvqkfe
-406,nlbkurppyt,CaT,-455
747,0.488,CAt,-600
-487,0.3295,-0.432,-455
393,-624,Dog,bkcddvjlna
dog,cat,dOg,-0.3145
-0.4985,-468,DOg,rynytvgdzy
fibnrkjmvt,cAt,-902,-0.006
0.2085,cAt,cAT,tuafrxnfjs
0.256,-0.2135,dog,agipnertwr
btatrtxjgu,yqtiudyhey,lhurlhnlvs,248
0.0595,-0.4795,Dog,-0.0715
-0.035,-71,DoG,-16
uiazrkopoa,985,doG,CAt
CAt,121,Cat,755
910,zufoadlvna,0.264,cAT
dOg,-0.157,cAt,0.1985
CaT,-781,dOg,dffiwhkbqg
CAt,-0.4155,doG,-0.2815
0.2895,32,Dog,DoG
847,-866,cAt,0.0335
-569,CAT,dog,-0.2365
doG,yiajgestab,DOG,-678
klbzcmzsmk,523,-0.202,CAt
femtxsmcmo,-0.268,dog,iwrididlmm
240,Cat,DOG,cAt
tqqbmghgrc,dOg,-126,-0.4445
