tgurfxbfbr,wpyqvzaqee,hjkfrmfqna,abzjhzepce,ejftppnikg,nnihswtrnk
dOg,57,tzbikuetmk,cAT,733,-0.218
0.105,-89,faxasrgxin,0.0255,kltydaseqj,465
526,wfqtgjgflk,dog,18,-18,oiajeunxkd
hdjxcirkgn,990,doG,-0.094,-705,qegivepxok
cAT,CAT,-0.4635,-540,dog,qoninrwere
436,qiimnyznva,CAT,CAT,91,CAT
jiwcrtitmt,-0.397,0.1245,-0.0365,zztaonzyqq,dOg
gmzbmejame,-0.1155,-426,0.0245,-195,CAt
756,0.1605,fiqbsbvsct,0.116,0.0245,0.3545
Cat,-0.2035,dOG,Dog,-0.3535,-750
-756,doG,kuizqbdmzo,ydmwooyfxf,Cat,0.191
561,fzhkmjyjtn,649,caT,-0.105,-0.15
637,ovbypwlnkr,507,0.3835,DOg,-390
-0.3585,reewubulus,-428,0.283,0.1075,bmhxwietpy
xljosmxxxh,dOG,cAT,-131,CAT,0.145
-703,981,Dog,dOg,-0.367,jslyjbndsk
938,0.1675,mkudpsblxj,253,-0.384,psctitfxnw
941,-0.4275,0.4865,847,-0.4365,pxdwvciqhd
cat,0.0565,0.2445,-0.0785,smkgozwkmh,dOG
166,DoG,CAt,pxkkfbssfa,31,jgglfpwcat
eanptvqitj,CaT,-702,ubbtwroxpt,sjwukabhfv,rrwcahryen
caT,181,85,CAt,dog,0.174
526,DOG,283,dog,789,iiyyosetfu
-938,caT,666,928,-0.127,lnjkjpplzs
cAt,0.2105,0.4775,cAT,cat,cAT
CAT,Dog,caT,-0.3835,CAt,Dog
408,0.3395,-991,doG,-0.3925,cat
dqxwycgldz,205,CAT,0.024,-275,136
doG,ayqvvzqrlc,22,-0.3775,-711,387
0.448,-0.253,rgqgunlsls,858,-649,cAt
DoG,627,-0.132,doG,wodidvucwp,431
sfibzvnsss,-531,-712,cAt,jggstagglj,-262
-40,ksrgpabzus,wzngyjnspa,dOG,oyhnzmzhjy,651
Dog,-0.2645,cAt,okadjsaxus,wrakacoxsj,horrlxhfgc
0.034,-0.449,snctdmwuti,-526,0.0195,-640
0.272,0.1955,DOg,-0.1395,keuubkopde,CAT
dog,wnyyhmxgtz,vapgznzcye,-625,Dog,otpdoaqspi
hpsbmfcwwn,dog,aujyxzibst,CaT,pdlnmgisut,plyqbrpxrj
-500,-657,-306,dog,qurljkgjpx,-0.223
caT,CaT,CaT,-0.1155,0.107,345
lpgardonhz,-0.072,-239,wdbgxgiyrg,0.173,-454
0.3295,ppkbqefnqs,-0.344,851,-321,vgtuielokq
thddxqcufq,DOG,0.3095,91,-0.032,-0.4465
0.4085,-0.207,-389,dog,torbmqfbfe,260
956,cdeythjopb,-0.221,hiihklndhj,-205,Dog
touohheevv,cAt,cqhsjsltol,kutyhtapfd,0.182,-0.145
836,bbnsgwmqmf,23,0.161,doG,cAT
cAt,-136,869,-0.481,DOg,glyyeborkz
-0.078,psagmdupan,rzpiifmgql,dog,DOG,665
fahlmltkpi,ywqmwfnnre,761,-0.1845,0.485,wxhsmijymb
-438,-327,0.4955,596,cat,0.279
-0.3575,Dog,0.096,kejngcfrwb,ismczjrwel,-0.3365
bfiwgnlirp,bmionoekgr,cat,ljttzvmpeq,dOg,lxkyqqufsc
eetukbmsay,0.335,zenmlwwqyt,-907,kuuwqxmhdv,0.282
zcklrgymre,0.0205,-737,-0.261,honqgpjkou,fezugjcmeh
rtkczydabr,uowpqkydze,0.136,hxiozthhkx,hfjgxwcocm,dOg
0.0825,0.1725,0.42,-0.278,637,-37
0.0815,ulqlyqxtds,353,-56,dOg,vehrxaonjl
-223,-326,CaT,-0.453,uomkyrurvw,cAt
tumtlbwfcv,DOg,0.198,-0.4715,aolmbfswaj,Dog
nbliefcpqe,emrvuemijd,-833,0.363,Dog,ygkdteireq
889,tcjszjiscu,943,-0.1295,-467,0.2135
dOg,kgdtttumel,0.319,oxpedrelkt,-476,0.2335
Cat,600,nivveixzdh,bigjdcecuc,-298,0.1
0.2935,-0.1145,-882,0.342,921,753
xliltqhcqe,0.194,uzagyihfif,engppmrxqp,dog,-331
-396,-0.2765,-732,34,tychkrcmup,hrnezzuwmz
niuipokqcf,-0.428,cznytnkzto,frfduvqawy,121,udfsgjvrgs
-360,-0.351,caT,caT,tgxpsbhrof,vphukdygmc
0.1285,-0.3015,934,-0.162,-484,unjcasmgge
-372,lkmbwaybvp,axbmufrcdd,hudywwwsen,163,cAT
481,DoG,-115,CAt,-550,-60
