tmduikfowe,fsqnkjjrhi,hahsuqwxnc
-0.388,dog,frjxhiwihc
356,qsudsjvmer,dog
806,130,-919
hzlvraalqc,dOG,cgzfkfctae
osvtzcthhk,dOG,hjaimpwbfn
629,-532,doG
0.048,-0.2535,CaT
0.252,caT,568
-870,-930,0.2825
0.333,427,-0.295
muqebclsrv,ywgwbnmvjv,CaT
gdvaynybej,0.4875,0.269
elpcyisvxm,-854,dOG
mfohvzyhza,CAT,lkqyukobdp
yiblpqsmsj,uwakcqilgv,-0.1315
-0.3795,-0.051,idamnwoqpl
-968,njqerakuyx,umbbguuigu
fijdqtwgzh,cAT,-0.206
dOg,-34,cAt
0.1505,0.4935,vgfmtihlhk
-0.3685,Dog,owhajmqujq
-796,aghqfralxl,0.089
doG,0.425,CAt
-0.4025,nqntkwqoin,0.065
73,-700,-844
tdjheqryxk,713,335
aphvprrixl,ozxbpckmit,-0.124
ggxvjcovnv,CAt,caT
-130,hrgyicshdi,ooyekjwfrm
-0.0955,451,skzghirziu
