cqyvvcyqzg,xebnctwvcc,ordcnzfhfv,sqgevnpdda,zxpdnmnbva,pet
aqjtgzhrdf,Dog,309,dog,724,Cat
0.347,-866,0.048,DoG,DOG,-907
787,-0.39,-813,-960,DOg,kfxvoszshc
Cat,bmygfciroj,-334,-378,-56,DOg
xgdbdrjcjp,0.2555,-639,-0.433,hgnbgzrbuk,dennffuvxv
DoG,884,dog,CAt,-0.247,muyijxxahb
0.427,443,kwhfhcdkke,ukkhlvanet,DoG,Dog
gkobvqpkiu,rbtwlajago,0.026,0.4515,460,DOg
392,-860,0.351,-834,-0.43,cAt
cAT,0.131,dolrjbhsfv,vaqxwnzsqj,cAt,0.164
emwlvhdtwy,polnpscfgf,erilheeiwt,ixkwokpizf,63,jbkgavmmkh
0.3585,-0.4805,-631,-0.2525,0.044,cat
caT,0.4325,-10,hqvqyahemd,0.153,dOG
cat,-711,qdcmsfqzzs,-727,914,857
wmmxlifjip,rswfwtgonp,DOg,xpodzbicii,hxjgvfvybb,DoG
0.0675,425,mvuxokuwls,caT,-628,DOG
doG,0.159,dOG,-0.197,-791,Cat
0.1995,-0.366,waugqusxqb,148,axnrqborkg,dOg
-0.3935,-0.2715,666,zsirelxjre,0.3575,0.122
doG,-0.137,995,-0.407,rafeluircx,-0.4545
jvlknqeuxs,ggjjgmzzqo,olkpdrheou,804,cAT,DOG
DOg,0.279,638,DOg,mygpjchuwr,Dog
-0.4975,532,-10,0.1335,doG,cAt
0.2875,kgeaslfheh,-0.083,0.3915,bhgszaosdr,cAT
yaaajmgbnl,779,433,swdktpvmaa,-345,DOG
lbdjpgjdix,-766,0.413,-254,-0.088,dikbxaqgdf
-431,lnwphahmwz,cat,-0.429,-272,DOG
-74,exopydmixp,140,0.023,qygqzasouu,Cat
