hexrgmasrv,yoygybvlsn,ckllwhhkzg,jppoxhbdll,piwxlxjlcx
-0.079,dOG,whtwrvcaqt,cdvylnzqtp,cat
-50,zsgsljhzmw,Dog,mzkfmpfwyh,jhuggmtlgb
DOG,screvmxnbi,gpqncbxxus,ahlcnfncjt,-853
353,-111,-228,dOG,49
ciidtqorrw,937,-0.003,qqvkqowzmg,xjwfdpzipw
-0.2115,fyvjeyqbus,164,-0.111,dOG
-32,dOG,-318,0.3795,-0.316
0.3755,-558,ewnqmdaivx,-0.446,ptrtiqpblg
kluqsesgbu,0.2175,323,CAt,0.3775
-0.1985,948,0.009,-0.108,210
DoG,966,-88,cat,-0.325
0.3405,0.0565,567,mgixwxjtfv,-0.375
CAt,257,0.366,CAT,0.1425
483,909,0.1145,DoG,lcvlitvczu
509,zsnysqkmra,zssbyiifvp,45,DOg
doG,0.276,729,bbzauotjir,572
-453,kiutzqgnjh,-0.3675,954,cAT
921,578,-0.1125,0.011,783
DOG,dog,-0.4265,vfyataysbl,0.437
vqikfpyjfp,-0.351,731,0.072,-0.479
0.42,0.441,0.017,-0.264,yjiypravlo
khudblxowz,dOG,Cat,0.167,lxagrvxyfp
dOg,qzsqxczmiy,caT,0.0075,iywyyrfnbs
-0.273,wkvfhtikhm,-0.2765,84,954
cgmizquund,aezbqabdll,gwurtwgfki,cat,-0.206
0.319,0.222,-328,338,wbjohqosbr
pqltxqqxgg,0.019,Cat,cbwsuqgsxf,0.1945
DOg,dOg,yebfabwuea,0.437,-0.045
0.2705,pfcuhvgeqz,-783,0.0875,pereenjmwn
fmoymufecn,0.349,0.311,0.051,124
0.4835,0.399,-0.3325,scxfynpaov,0.2855
ciohjboibh,nnsqhaqbvs,-542,accjnxuyyc,0.2525
foofagskzs,198,-943,0.327,pqcbnrnxiw
28,awtakfxurm,pqropkjybj,izewnyuyji,160
0.1715,DOG,-561,-238,0.4305
-520,0.326,mgtigbwgtc,DOG,-0.2065
vxjsafgdwn,443,mqpaekdtan,969,95
-120,zfxbbxzbez,qcdjcacxfh,dOg,0.0875
nguepvpuxn,fvntjrfcau,cAT,-737,dOg
DOG,593,-119,DoG,0.266
-630,nfbrgsiltu,-709,lctgrdrsrn,Cat
xgbbzxlivo,dog,-146,CAT,yqtilsnqod
-0.4605,-0.067,volzdyowez,373,zusgohlcnb
-0.4635,0.0025,-18,dOg,doG
vgfccijoaf,yurcufbotx,immxijcpxt,-0.141,-865
0.3705,0.1705,jstnlqmyog,-0.3715,0.1965
njllokvhhy,yoiqelxauv,938,28,0.164
rbedbogpkc,-19,-112,-777,-676
-0.076,CAT,cAt,-0.1415,mpniwsksgn
qqlbptbuxc,-0.3425,0.2935,cat,191
183,imxnulppgj,-0.039,0.475,-841
-0.469,-0.3455,-0.0735,-208,pzlfpohcig
-242,0.164,DOg,841,-579
snnhhorvpb,0.312,0.263,0.4185,dwkyeddacx
xnxdesglew,0.4135,cAT,qdtpwvrkez,467
642,cAt,-0.2215,ezmgrbqzik,ovdhrsasif
