cbpgeetxmi,btyywggfnj,mafsmxqglq,pEt,regsvktzyp
-0.0245,0.174,446,gnqutucpsi,dOg
dOG,dog,rlgujmaxil,DoG,dog
0.081,265,hskqsjsrdq,qnhlgcjisi,ecswxywycq
hcouyktman,doG,0.0245,dOg,-0.4085
763,463,-0.273,dOg,982
eruhjgkoxb,-0.039,DoG,CAt,DOG
918,236,0.2025,CaT,DOG
849,0.283,caT,dOg,CAt
-0.1565,69,dog,dOg,-0.3745
-0.127,rsqusxspey,-0.1455,DOg,-0.006
0.4465,0.3915,0.1,DoG,cAT
cat,Cat,-643,cAT,598
cat,0.1055,0.4455,cat,-618
-0.104,0.2985,yucooglmwl,-0.157,-0.4505
-0.2,DoG,iwdsltpddf,-0.3495,-0.185
hrdkwgxcxw,-0.008,-101,cat,DOG
-402,-22,-0.0585,DOg,CAT
-0.467,Cat,hoboedukjh,0.4935,CAt
ipvyuurtrj,edzbqaovsd,zwukvlkdee,caT,ntyapundns
-820,DOG,iodslkshms,CAt,-938
Cat,529,-846,215,594
-744,oxdxjjgtrd,enbgsrfzuq,cAT,605
-0.051,89,klsofvppuy,CAT,0.4215
doG,-565,nuacpzgkoi,Cat,-996
915,ortutsufif,lgozdnhoyw,caT,-88
243,0.403,-793,0.3675,qffvbkcxtk
DOG,CAt,0.416,317,ykfslqfmqr
yvjcgyjwxa,0.1275,rymnamfmvx,372,-0.237
tpiltiwsvz,nfxaijejeg,dOg,-0.4525,haungasqep
efsdhnxuip,dog,pbzhldojhz,doG,swgrxujile
0.293,nzirpqzpks,-166,dog,jcikbsbvmf
kdwdrwuzwb,235,thmhhpahaj,132,-457
safasbeqbb,0.426,CaT,doG,-954
-810,eqjxcxgdgx,881,awvnkaitco,-574
CAT,ompjskftxz,-0.2355,cAT,-0.128
vuxtadeiyw,uafaehfdie,cAT,dwpdadgeed,0.406
vyktsakjeo,cAt,oqotzsojxb,Dog,941
DOG,cAt,-997,caT,-0.225
cAT,0.449,0.306,0.416,578
cat,qlterdgvpb,-0.085,dOg,fnyfbtyykw
898,462,0.1835,doG,duobphnchm
