PeT,nwhfintfoj,znwuytdxmx
-289,clokihtxgp,doG
-0.386,821,0.332
CAt,tihicnkoza,0.0625
DOG,doG,845
cAT,-90,ywhebguaxa
DoG,0.206,0.3165
CAt,-402,-427
cat,-957,-0.308
Dog,hkazikbbjf,-0.223
DoG,doG,0.3605
287,DOG,0.065
caT,771,0.295
ssqglqoxfy,hpyxlfoerk,-0.2155
dog,0.4175,-333
caT,-0.012,0.392
cat,DOg,0.3965
CAT,0.3105,kuutxrkpwx
dOg,0.1145,172
Cat,DoG,DoG
pewrjsttmh,-814,welfnoywgx
CAT,0.492,0.4645
cat,Dog,0.4975
dOG,dOg,tztzlogzen
dog,higeowlgrz,tcfjrvqpct
DOg,uzcqjcrgmg,nbmbsumzav
DOG,-0.1885,-0.0665
0.109,DoG,rajtmtztqn
caT,Dog,0.4435
-829,ukchvejuuj,0.2085
CaT,-0.2185,pzxjjjhjcl
Dog,0.4655,scmnsghnlc
Cat,-432,dOG
0.0945,dog,hqbjjddart
DOg,cAt,-598
-0.0125,221,-373
dog,-839,-750
CAt,-0.256,-442
DOg,-472,caT
DoG,Dog,-831
DoG,827,mhysexjavv
stbqmtgshu,138,pwpfxihuvd
