howuxcilzx,coeuyezjvd,peT,hgzecqtpub,qzfmgxbkcp,hlflacmcib,unalxawaaw
-374,-856,dOG,-0.434,eosvyfhgor,0.0925,114
Dog,0.0345,0.2015,-709,0.1365,-0.239,qrqaphxyca
-0.1,274,CAt,mmjwdgzutk,0.3075,dog,teghtelnlc
0.446,txmcwirtde,caT,cnatdlnwbd,0.1265,-0.4625,671
307,126,rufcxxzpte,nlufqqjsvq,kwiphzyumo,Cat,0.0675
867,36,dog,aowzgmcrhm,785,331,-317
0.1375,cppcsreufs,-877,0.0415,539,-866,eojocvyemc
-0.238,0.419,doG,gfrvkxusee,zwfglwimve,DOg,CaT
0.1675,0.496,379,917,0.468,DOG,fehowlwifu
0.4335,676,-375,-0.4575,cdnmeilzmr,-951,0.001
tlaowodikt,ctdmnltygl,CAT,-481,DOG,crdrzvpgjp,lvoxrfbkks
-947,CAt,tdrudnsyhu,933,CAT,-0.132,vabphkpyjm
odjerfxwxs,14,-548,pacpydixxu,-0.2775,-0.3415,-418
trancelexd,0.0375,CaT,wupjucdamf,-0.4415,-874,soarkitbth
cat,skuovzpuax,dOg,oomonsjsac,dOg,slnccjuufj,uoqmwmylcr
-0.4145,614,CAt,-123,-0.031,isyrxtsyzg,911
0.3065,hzqjvaxevy,649,oidzfhnquu,599,617,-0.1605
CaT,-57,CAt,604,559,-251,clfjfrkbyg
uioedgubkx,-0.212,dOG,0.499,-333,-39,75
DOG,-846,DoG,-0.4285,jxjlfpurvx,995,369
766,ajgxqsviuz,cat,0.202,vvmryfnvxx,lrqwppjfsh,ukyxpokaoj
dOG,kiujhzqffe,Dog,CaT,-0.492,DOG,-0.1325
CaT,427,DOG,DoG,CAT,zwlktfmdag,rswiuyhjss
0.369,zdzvgmbnij,cAT,plscusbodb,itkaqutnuk,cgucacfngl,0.015
0.3625,CAT,-552,-427,-466,0.205,-0.268
qzttzfsugj,sxkfkqchik,-344,-0.087,-0.347,dOG,vkdyzntnbp
