evwylpazvi,fsvsgzgvmw,PEt,gzhpcceadu
0.1465,mfwygpxmfh,DOg,-647
mnzefbxsnq,odkqlxouns,caT,662
umwyikqkba,0.069,cat,-483
dvrafwyplg,254,CAT,DOg
0.0095,-0.379,xfvfzplapa,hfirzufonw
-777,967,buzjsvelkq,-0.4875
pkmuxmrjrl,69,-0.3225,0.084
tzhxuvmzfp,-0.233,dog,pepwuopqjo
wegfemvtub,dfwxkdkgfj,Dog,zadupehnns
513,CAT,252,cAT
10,ufpjwfeguo,cAT,970
vgzqtncjri,kknzmihwor,cAt,0.211
835,ozjhkkvzvm,dOG,-0.2275
-0.129,esnrmizgjg,cAT,-0.105
-420,-0.3755,Dog,-0.2215
-911,0.3365,CAT,dog
-18,-872,cAt,73
dOg,-673,-0.4725,vacduwogvh
-658,yinqirxzrc,cAT,Dog
211,zsehadpjvw,CaT,cblutyxugh
168,csdxzlrhej,Cat,-291
490,-0.1195,dOg,81
-0.4565,0.331,dog,dog
0.358,-0.338,0.498,-0.063
xlrcebiyuc,bgtcvjmfne,dOg,367
CAt,752,jvrxeqiloq,fygjngnzph
dtuhwasajm,0.0055,vjuoyqyodr,dOG
rsubicvzgf,rmtxtmhrsh,960,Cat
0.132,CAT,dog,-0.085
0.306,hfzxqputti,-216,CaT
0.145,wzumlmusjg,-453,637
woltzdryzz,mzvwqxpzlu,CAT,DOg
0.112,892,Dog,198
wwscttubhd,CAt,dOG,zxbhmryvjj
-842,ltpqgnarqj,dOG,516
-0.1915,-0.309,dOg,xtnadbvyat
516,ktxvxbponl,DoG,94
rvtbycjvvi,0.0465,Dog,-0.186
CAt,-239,Cat,-847
ejdijpwesy,-651,29,-0.3035
pylrircshr,tqusbzygmm,dog,yhaqymgaxi
-0.288,dOg,82,-0.0085
DOg,cAt,dOg,dhtecjcvwr
dog,ayjkjiecuo,0.4875,sycskfhbcl
-8,envolahvst,Dog,ivvdhjagaw
DOG,tpnpowxrsu,DOg,-211
0.4825,Dog,caT,-557
cwkgbccgrm,CAT,caT,CAT
330,mlrrkswdbr,cat,-402
20,0.4535,cAT,0.2665
0.0795,694,ozvzhhmmgq,lcicngoshc
-40,CAt,DOG,0.4805
dOg,-574,dOg,-697
686,vhhiggrhge,Dog,719
rgeyuoznsj,-0.399,CaT,hnwttrxhac
789,fusckgsipb,caT,xunfnjfwed
zajmrupsmy,-0.132,-847,caT
0.416,0.019,Cat,-0.306
rwhvhauaev,0.4515,CaT,-0.1155
714,0.374,doG,drbyxetzks
577,916,caT,qpxcruxwuz
zdpywgvxfx,-0.3455,cAT,pydbcudmbw
