rvqzhtqfqj,hzaphpugyy,bduikjlplo,xzenpanoir,vfwruppnfx
92,-0.346,-0.2255,cat,lsyctxmnvj
-0.138,mgetpfwrtk,jviqaugoby,doG,fclikdlbyz
953,-892,506,-0.173,wiztkvrigp
108,cAt,-0.4835,cbeqlrgfau,0.29
CAT,dOg,-90,Dog,-461
CAt,98,0.4185,iilnzzsgrf,0.2505
evxqvtoyvk,hnvlgoopur,409,-0.02,vkyecowafs
rfeqrhmhqg,-886,0.1595,-0.201,dOG
rkdjbzterp,-415,0.1515,-0.1415,spytitzrhj
0.102,-0.4155,93,tlmnirfkgz,yjiflorrar
724,CaT,-940,-7,-933
ytlqcfyirx,41,caT,879,-348
-433,tosdmcemmh,-638,-694,ubtvhxtukd
0.498,clmrpqdryz,nbxeatxnoz,787,356
-38,afyiidxxtm,915,-0.497,-432
goygnkkdol,0.4685,508,0.1975,-0.201
-707,doG,CAT,bnstxctsyr,0.025
377,caT,bqrdztbefu,0.0835,DoG
lnerlabksj,692,lfbruiptrr,-0.2675,-0.0325
0.038,911,0.111,-0.291,dhavtdzxnr
-916,0.3685,dOg,-247,CAT
575,ihawsvsuuy,582,rgwxsvagmg,-0.391
-993,-227,300,-0.4955,0.029
gnquvaqmzp,799,cAT,0.474,gktxopvemz
890,vriimdqteu,fpbdxjczne,-194,dOG
-558,yuluglnbac,lgivjgcyyd,jrepbkjvjj,0.155
814,0.488,exugsbrsfo,zqpzxduylu,faadfqkoqa
onnylesese,917,dog,uiawyubslx,254
-105,0.228,CAT,-0.2855,DoG
mmzkeieitv,zekafpcqfv,242,23,-0.411
DOG,dcigljaato,0.2975,DOg,226
0.4015,840,hebktebggn,-416,hvmhzlbrii
zywjqpxfuw,968,0.4525,0.339,caT
-192,CAt,-0.1065,tgmaecupzl,cAt
-0.3365,eaubfaxzes,Dog,jykhkyraii,DoG
hjstdlomwv,538,-0.1515,0.0455,0.027
