peT,utpquoagcj,isnsdbvosj
340,-437,-0.2035
-0.021,-0.256,-0.3845
caT,gtqvcwcmvz,Dog
0.13,DoG,183
DoG,dnrwycbiuz,0.084
CAT,-50,-0.166
DOg,0.4675,sgaxneraui
caT,luwthokoaz,-0.193
-420,DOG,rrgesfslez
wdhykvetxc,0.2,475
199,467,dOg
CAt,anhmbfpesv,jtgpnoouxb
rcytysyugv,0.5,-372
cat,DOg,ibyjspmwbk
CAT,0.121,sxbsavfcag
dog,-677,cAt
DOg,810,0.4835
cAT,805,CAt
DOg,0.381,-0.166
DOg,gzznemsgpr,-0.0175
cAT,tquaxrvbnu,dog
alqrrobfqn,-0.2545,-0.4265
cAt,0.2175,mqmeqvbmgc
CAt,49,tuxaptapra
CAT,0.2845,0.16
Cat,477,rndrfnbxfm
Cat,-0.0015,0.3935
caT,cAT,0.321
CaT,0.245,hewbzaovyw
dOG,347,yotllyzbor
DOG,deidjackif,-102
caT,-755,818
0.314,-736,-0.175
DoG,houhkthyfn,vtjrhcylbp
dOg,doG,cAt
0.124,-0.3715,762
CAt,azydyangmv,-0.002
cAt,cAT,DOG
-0.0555,-422,-0.1835
