qpjsfkcfsw,qebkhmbqqj,xpxakrycig,wqcgpfiruv,pzxnoqovyq,gwwcaijpcj
318,330,kuidixykeg,811,CAt,aljjslsaea
-723,313,260,gulwpspbyd,310,dog
-20,czfhqwpvpo,DOg,CAt,amalqcpyzb,CAt
600,491,dOg,880,-629,-0.128
bravxrqjov,mdkhvdmuzd,82,CAt,-324,-941
-0.05,477,-0.4935,-924,cat,DoG
-0.2515,-810,0.0905,0.3175,-167,-104
-0.165,-0.336,vgtvobdqnf,598,0.311,397
dOG,Cat,975,58,cat,caT
bdnmdjvhou,850,-0.1625,-0.3545,134,0.224
bfddfxazrw,bajefeyufq,DOg,470,-0.4815,Dog
-947,487,614,hwduuoytfo,0.256,720
caT,finnvsuqwn,zqcurzqrsu,0.4975,alhzybkgkj,zcocecuzew
caT,qbpwqejina,cfnmlyzmit,909,CAt,-0.034
-0.38,0.202,742,0.113,vfelsugutt,0.255
mahlbppjnr,CaT,195,sdvcdwaxvn,urcehdjsfm,pniatxfvzp
mtkfaeuzcy,74,-0.174,-0.294,caT,writrnkspr
vyxhmffkxh,dOG,yhwjqvyzbk,xuckxhobyy,cAT,-954
0.4235,CAT,0.0675,-0.382,Dog,dog
640,0.2635,0.199,qgghspcjqa,0.3485,-0.3375
0.328,grjenzhayd,-0.438,zxsqstshuc,-903,0.257
ilwyrjabwf,aiuzvonpzb,DOG,-0.2795,CAT,0.3465
CAt,dog,-643,-0.0105,-338,-724
ptdthpilno,-0.2725,882,-467,vhmxihpnlv,57
-0.064,rygabyjxvu,713,urvplintbc,234,uvqehmrwhy
-0.3195,-557,zqvlauvhhi,-600,cat,gnqmnixwwc
-0.1545,894,0.0615,cAT,joqsqfxzxk,958
-0.444,0.277,CaT,opahhgepqs,zftpefbhon,-710
-0.248,-0.178,776,-0.282,dog,814
0.148,-54,itnqlxlozr,-417,dog,-572
-0.1375,-0.1195,drxbnhbqdc,anttbrqtxr,Cat,ftcrhgtyou
-514,vqhryaltmy,-968,-0.1815,0.4825,0.1795
760,-0.4245,-0.1095,DOg,0.2985,-241
0.1335,0.258,gtmyblaklh,992,rinaaxaeug,rawrxnttep
ubctxzosnu,doG,ugsmtrlbdy,artwjlzdvv,210,0.481
tbwpqihowu,0.2195,pgqktwmpow,uppbpydanp,-0.2645,0.432
0.4045,vyngdxdxve,-308,755,nmnxvdspzq,rxylktnwun
-627,mlkqgodpxw,782,doG,-182,snaavleydg
DoG,0.0965,0.161,caT,vxifbuyzke,wdszniitiq
-0.356,957,0.4255,-0.1075,DOG,850
0.3275,dog,-371,svvqyrhrmc,DOG,0.266
989,0.425,fhxkwdjvkz,cAT,653,-0.4405
355,-0.0145,281,955,248,-954
0.471,dOg,598,809,749,-928
-125,0.223,ywnyziwikh,remjdjeiwp,0.336,-0.069
0.0305,yypwpyosdv,234,-0.3315,369,CAT
xaddvzmguc,-0.2085,-0.36,-0.178,-0.217,zwgymlyszp
pesvqgaccc,-0.3085,akkywzyfdb,-0.194,DOG,0.264
dvawzzpxvc,cAT,anfexgbdcq,qdbkdudglb,451,-0.423
-0.227,-0.447,vgdcdqhxyt,jahmlkxhmk,0.432,gtlgwnoxvm
52,365,CAT,doG,cAT,lrpxqtlgya
phxdrxzmov,cgcfjxryen,17,-79,0.4745,953
DOG,0.0755,oyuibussim,CAT,0.0705,449
0.494,0.1495,-0.1205,doG,-420,iercsuqxze
0.3555,gqxqtdqjoh,-49,854,-0.3155,wgswzlbtku
0.317,544,ecxxatafzl,wjwpyytbsb,Cat,vgomuyyfdf
wxlbttgmrs,Dog,-430,ywnjfzaemg,92,lbipiqcafp
Cat,0.1375,DOg,-0.4395,-0.1,btenmyivyq
0.341,-0.0975,-0.442,0.378,bdvaffdgpo,hycyuexwya
0.385,-0.251,zvzkjbrsdf,737,0.18,wvuaooztuz
-781,abuefwgkjt,-325,253,ivfmaxqies,0.1515
iftldzdnip,dwcywqtjoh,-503,dhdbjokoej,0.0045,rfisrfocxq
84,vesxaiadro,CAT,-0.1785,0.302,-0.4435
DOg,-466,591,-0.4215,-0.183,zpovrpezum
Dog,917,267,-0.122,Dog,arsovjuypi
CAt,CAT,doG,-198,yzhmqmlpbj,279
322,0.434,-0.334,gdrrqtufcl,-0.4325,caT
814,682,0.3375,-774,-0.1415,CAt
279,-0.001,jchhtzrisp,doG,cAT,gvtlsxpjqi
DoG,bygffguguf,znwedwvsqk,caT,0.4275,-0.086
spmvcbbvci,-0.3665,dOg,-135,-0.355,hbbtkozsxp
lodhriukxq,0.0995,Dog,766,qjwsixezxk,jjijpstswf
691,739,37,avswvlzkwa,brndzhpxyf,doG
0.14,vblplabqba,arxniurgkm,qycpovqxsg,0.4035,dOg
