qdpwqnhxii,fongbidomy,coxbzyrwgo,pET,psnyqstiyl,pywypsbdmd
nyvwkhwgyu,DOg,-549,CaT,caT,0.292
DOg,dOG,CaT,cAt,118,0.465
wxghlbfhnd,-729,cirdovkuca,cat,-0.214,uvmgcywbpn
198,-0.423,akmgqyrlsd,DOg,CAt,29
-585,140,rhjknabgfx,cAT,dog,qiysqnrmgn
xoantnhopg,-0.2135,iuruhuxewi,CAt,-232,-0.216
848,hueghkzkak,iwcqhulgku,Cat,197,0.157
DoG,eviaztvjtj,-0.2455,cat,vekwgndpaw,0.0635
DOg,-0.078,0.01,doG,dOG,759
-0.428,trqpfyjcuo,-396,Dog,DoG,-0.329
DOG,Cat,jcyqqmhqne,dOg,lhgdgadrzw,blywmuuzqu
0.0705,CAT,943,vfwmykopun,486,0.3615
77,0.088,cAt,caT,0.4215,fzhllxhkiq
caT,nplvwieeiq,883,DoG,yoxufhirmd,-179
0.2245,mfcccqbhpz,fpzupondai,caT,147,-0.3335
-0.09,0.332,-0.1455,DOg,tkagrzfjzt,0.4145
266,0.28,ibsigjclfv,cAT,ktzrxbescl,363
-0.004,dog,dOg,dOg,caT,0.176
gsrnfuiitc,383,-771,dOg,-382,Dog
237,0.2055,lqytdfcbrx,748,0.2515,-517
DoG,dOG,ofmqyzvdko,DOG,cat,0.0315
255,438,wsmdczjwph,-0.387,DOG,dOg
-0.323,0.4175,soywntkxiy,dOG,563,100
rkdszrnrlv,0.287,dog,-0.395,CAt,-243
Dog,-120,Dog,cAT,0.499,52
0.0,-669,DOg,xvotkyigaq,841,awshjfvjtp
qhnyzxfvbl,-0.4115,DOG,dog,0.436,pkvcdnakyd
940,DOG,ygilhjalhn,0.047,jiiexirtqb,-0.342
azksqkzijx,-0.0935,lsjzkhotwp,CAT,804,vzuldukbgc
0.463,982,551,dOg,775,DoG
bagjsjdkhn,-0.3435,CAT,Cat,-0.353,-237
-0.066,Dog,dog,dog,brezgibchu,dOg
676,fuzwcwlsym,-0.3245,DOG,0.047,ydhlhpvnym
244,doG,caT,CAT,935,-879
-848,zidrroxvon,mgykkgazjy,-0.254,-0.2985,-619
wwxlhxeelk,619,-0.006,cAt,-36,-0.0545
fieuuhefrt,lgikairxrh,-0.2545,CAt,382,-781
gqxtnarout,-0.39,yqeojbmjcz,CAT,Dog,-407
njmhvtdmfd,dOG,vqybyrytos,cAT,-336,0.1525
950,whkzvorafo,wgqtjtobgm,doG,-0.348,0.3535
-785,bmezrvfzxm,abtbcrvymi,CAt,28,-95
CaT,-518,310,0.414,507,wihkfkhwja
gkehzokczb,0.197,DoG,caT,416,fflkqrzcjl
0.082,-528,jevlnygzfi,dOG,-428,-0.182
ateytrrhav,82,-0.255,cat,DoG,284
-0.308,djkkvuzytu,tvpcfvmgpo,DOG,-951,0.3635
20,0.391,-207,cAt,791,-689
-511,hirjfmjcfn,-0.2865,uqhruyiubk,zdvtmmnblz,DoG
DOg,0.313,-0.4305,CAT,-951,ewzuwzrsup
cat,waqjjmyhzs,cAt,0.2695,246,0.1345
ywvyoivocd,cat,-0.356,dOg,0.31,-0.196
0.4255,cat,702,Cat,ncfyobrqpp,0.05
829,uivwkpcknt,464,Cat,330,-383
DOg,-0.215,694,cat,0.248,0.4845
171,0.117,74,cagkmhgchq,-965,gobsforbxs
-297,-0.259,158,CAt,vkztwwdkxb,CAT
-303,DoG,0.3325,DOG,vpohzjfhwi,572
oomghyylft,131,-439,fscmsljjqy,-100,-922
-0.367,CAT,0.383,doG,dwwkfawjpq,-0.3635
