lzeucnucbi,ghyjwtrigt,caoxbgwtsr
twcafrnwnl,0.0995,odttbodiiv
rbknraivmy,0.4885,-0.077
woyvojmdjj,-457,swektubnts
cat,-0.329,cAt
wtfqdrwxwy,oyvjtdgcoy,-852
teyirqipib,-0.4255,-415
-0.3515,0.102,-703
DOg,0.389,vjqxcsklzj
zeddjhlsyi,gfwtkzloei,766
DoG,tcuddzfpmc,jxwtjytjyn
CAt,dog,ufcattmybr
kcudzjcgud,ihlskqafwq,825
fxasfdscsc,0.3405,dOG
tndvtdkqbu,DoG,CAt
gciegsndiv,jgbxcohecj,286
-0.1915,-0.1825,ntezfezexh
nitrtlnism,ktzbpapdho,ktruvczpdo
wvrjauphqy,-858,lmaklefsyh
0.181,639,121
659,-0.0615,aodfwylgxz
-905,0.3575,tzxogqkwyp
0.051,350,-0.43
cAt,cAt,606
-883,443,0.027
166,0.4655,nykfcedxjp
887,Dog,-264
