yriullwyuq,zksldkinwx,xsbbnkerut,gdqhgfghfj,ijwponubvn,ymfsiyuaam,nfpzffhrbd
ctzruupgxh,328,vsczqilben,674,DOG,0.31,-0.2395
0.332,-82,-0.011,-0.0015,dOG,Cat,-0.1205
fhvyazbuxl,0.427,xqaekmdyss,sowujkgtec,mqskqlvofv,-0.104,-0.217
mpfawbookt,-0.3765,-0.398,76,cAt,doG,Cat
-104,168,-0.2345,-0.1665,vxscgafdeo,-364,-793
0.075,626,DOG,-0.4625,-0.195,452,zqcdwecyjh
knquujcumm,0.2345,64,-408,ztbfobuqep,nqgkwsbzvy,zplvolkcgg
oabxjoetrb,150,wgowxoxvyg,cat,-600,295,dvsenxyhdf
-985,-461,mxdyegirao,cfoqvolgap,irosdsvyyc,itfxnbxcxj,sdjodifpve
vmjqyhuova,-0.27,ypssotbgyz,dOg,krucqfufdt,eutinfpvlr,163
0.0325,0.384,0.362,0.0385,-0.048,-0.0645,287
tbvvokaqrb,682,-0.083,0.226,dudcjojpjs,0.414,bdhdcajbhg
fajrppgqgk,-232,-55,nykqkxakyv,-0.018,bxdqtgfnjl,caT
dpytovhllz,osjlyareyg,pfwsbmwpdq,-0.422,199,0.263,tlwiufuojy
-489,-0.052,0.471,mfnvnmohdg,-0.335,doG,DOG
754,911,-868,865,0.396,0.378,665
-0.1385,sghvblpexi,0.282,0.369,348,12,-0.042
amwitxwfed,cAT,782,-0.4355,tqshyvrbji,0.2115,-276
188,-789,DOG,-0.0455,Cat,0.229,366
nwpxlbedus,oxfrseoogi,565,-0.4645,osvapghowv,205,bxlbwiamtr
