atlgjifnzr,pET,hmojwsgcvw,yvjjpvixlh,neifarctkw
0.428,hwpvxkvkee,-525,DoG,0.08
947,CAT,953,0.2525,dog
0.015,dOg,0.3605,-490,948
yakzqbrxvt,dog,0.496,ewbzlwbeid,0.0405
ljvuurcvbi,CAT,780,464,DOg
dbgffqzjwe,-0.2245,lfqbuzdsct,-530,-804
fyqkwxoxgi,Dog,0.236,-586,991
-0.342,Dog,cat,0.349,621
-524,Cat,739,caT,-0.166
ldhhnguozx,-0.4785,-0.4275,-656,0.207
0.251,DoG,993,-822,-0.1125
561,DOG,-0.039,-413,0.326
84,DOG,994,-138,rexlleegje
vktorcsgwh,Dog,749,539,dOg
340,doG,880,542,xyjmrmwbbj
-0.365,Cat,wauxdbybvn,-0.152,40
-0.0265,-0.249,CaT,quablprklg,-243
658,ktdkfayaag,DOG,0.3815,-0.0765
140,dog,-0.014,518,-251
-0.042,CaT,-0.124,0.072,0.1545
nlfkuzavjk,CaT,0.1405,-0.226,vuqheunzfg
118,caT,DOG,lvotedoaev,-0.3435
inpikirjdk,doG,461,-131,-0.1805
tadxptipdm,Dog,mfjwyeitca,899,0.206
Cat,-33,mfzjeantqi,0.128,-0.3755
pnpgvbcaks,cAt,iojulpqhbs,dog,0.377
8,CAt,-889,0.398,-0.0105
CAt,CaT,jbefzmfywc,-0.2875,jzqyhmxxus
CAT,0.406,-0.463,nsxvmtklgp,yrpieslfpq
doG,twbayvheku,kigedmkyzp,-0.1235,mndmlpdzqv
0.0705,DoG,0.0035,-901,0.303
qsswfkjrza,dOg,0.27,0.482,gmzpjpsmhf
0.3035,CaT,CaT,mzoakqnloh,dog
-0.1075,Cat,-0.362,-902,0.051
yqjpindfbe,cat,aithooojlg,0.1195,39
dOg,0.0165,180,CaT,edlwhniikm
hpobpckmtw,CAt,-0.2225,-0.248,cat
tfbhpzwulp,cat,0.4165,wkpxwacsdr,eahkjpocxe
yoyjswyrjj,doG,iqccqnjvyg,CaT,-694
7,cat,100,-773,716
lrrfmfkcad,-0.363,-440,-0.351,mqpoasqonx
-0.0315,DoG,-532,126,-538
-690,cAt,Dog,-0.0825,767
0.0665,Cat,0.2035,-0.1985,wmdowkaftx
-626,0.148,jdocmztdqu,DOG,ivinbjiocj
tfetmmprqz,Cat,mlgiuygqqb,lsurujxpft,cAT
0.4765,zbbqsjiqwu,-102,-0.093,-246
tkrthqykrs,CAT,cAT,auykkvfwzj,20
