jvsstdituw,tvmvkeevty,lvoescuohv,juwrwfmlyf,kidlkegcqz,ffnshjvqeg
DOg,plvgoryhnt,566,caT,0.384,0.3695
CAt,dOg,0.0785,gaxlqdwufx,nfiwjtknzd,CaT
233,468,-0.258,wsxvftsizk,fzidlewxnm,mdiplbmsfw
dOG,ysszwqlakj,-0.1915,-0.132,0.2775,-294
0.337,zrksuzoqrr,lcsugplpva,-0.2135,lbayrdsuam,cat
-0.4895,cAT,-83,378,dog,wauwkttgjh
ccbtkhqjks,omfkurnbec,CaT,501,-0.4235,0.2835
-0.205,doG,dog,-0.3795,619,pfzzneugyd
svywquiden,0.1515,801,0.432,vjzgbozhte,DoG
cAt,0.282,479,uppdzqxwku,-342,443
421,0.1025,-0.0955,791,CAt,0.255
899,caT,jwsodgoxfh,xoezyylrvr,DOg,-0.402
uwzvfqeyci,-101,-0.3945,cgusplqpwm,-780,-0.3975
Dog,cat,0.1285,ijzvqkffgq,264,gjzloyfeof
-0.2945,CAt,-0.071,dog,wwokzetpto,-0.169
sbdhktrdge,0.4655,izqrhmnibh,-727,djzcbmjpyj,-465
-0.1075,-738,0.324,152,-462,792
0.0015,-742,gcykkpexpm,100,177,0.076
DoG,0.4845,-0.4815,-0.229,0.284,CaT
ruloonlzfz,-0.477,923,661,-0.1245,-0.381
-0.409,cat,-0.4845,DOG,-0.0365,okxvsnogbr
kuizhnrtyy,-530,-0.131,tomkyhbqig,255,685
efkskhmtsw,0.4975,-0.2865,-231,gkrqnoqaks,-0.381
dOG,73,0.434,ttqgbkdxqu,CAT,101
-0.0605,olhrgwuboh,0.249,385,ptrlvmmbym,-225
hwezpvxoyl,-0.1065,605,-472,-722,cgisiphjoa
-0.1075,239,-0.06,ovasfimdcp,-294,-0.168
zeduowbsih,-0.061,-138,624,487,gybtouwcui
dog,-0.3015,caT,287,-332,xyzuupafai
385,omnpxcputm,-0.363,727,pzbafemwjw,iosmjzvtuo
326,-0.1395,419,djissiemyy,-733,vynhkclxsw
-382,-0.4985,rmltmmzmbs,fpwetdbkyl,909,-0.369
-214,zgdlqkdnpx,atyyqysdrm,-53,Cat,338
-375,-349,0.4805,0.459,DOG,ebtachqqkj
-168,90,caT,-160,kzotffqzap,DoG
xdfohveyrw,-0.258,ojfaywyuox,-470,805,-741
-0.2265,-944,CaT,zksfwgocvj,cAt,caT
cAT,495,CaT,cat,lgukcisplo,CAt
-0.4655,hezwoebnpt,ahpncvbygd,CAt,-750,cAt
DOG,235,-741,266,-0.1385,718
-0.161,remkqdebqa,dog,yvczuwvjla,0.0665,-53
-0.2605,0.319,doG,-708,0.0265,isronvjxtd
doG,0.36,mzrhrjxzri,lggeivxwra,268,-457
yksxyznkio,miwbpcmcmj,-107,-196,cat,-0.394
CAt,0.327,-0.1455,-569,90,-741
DOg,264,-0.0875,63,0.4915,cat
DOG,248,43,bojpwhfuzd,-210,ymozcezqwv
ufmaypciqy,-0.465,oozqrvkpdf,cgjmvdenxj,215,-0.4775
-171,646,0.302,bggmqyoili,-556,kgvbdrsujf
