spdibvixdj,jyjujbkelc,pET,ogumbidkaq
-236,lbcalewsqx,-299,-0.4705
DOG,odugyhvakf,-581,-974
577,xjzdnobwmd,doG,-419
0.2475,-981,sqerhsrqqm,-469
629,vnwqxhcslp,cAT,-334
cAT,-603,dog,CAt
uenmaocmxq,0.0025,palwpphwbd,jkcianfuxb
-0.3565,-0.367,-0.2865,-0.192
-964,unsvxaxhpd,caT,drcjnpgdqi
0.4895,btiylrxvmr,dog,809
Cat,CAT,CAt,0.091
tezgjwobnw,Cat,cAT,-0.1605
ytkbhmiiay,jhwnaeltnj,cat,dOG
0.158,gstwbrogyi,dOg,qazeztakzl
952,-37,caT,hcyzjwltxc
-0.1405,doG,CAt,-0.329
rvovqabapl,-0.041,Dog,CAT
0.083,-769,DoG,CAT
-0.1285,doG,DOg,390
-0.1825,-0.465,-0.1975,xnjwmhubit
-823,rwcvwbzeku,doG,0.032
19,-523,Dog,-420
0.2455,0.0365,cAt,0.257
-931,144,CaT,0.031
964,0.2615,DOG,0.3905
CaT,-380,0.1785,0.055
caT,-956,0.345,cAt
cAT,0.044,cAt,-0.1105
qcyixlrzhc,CAT,dog,cat
codlxrlvwq,-0.113,0.0685,ctdpepnjcl
918,dOg,-357,855
-0.3295,-0.367,-641,odhomhozpk
997,tbtefbzbut,CaT,-497
DoG,doG,Cat,0.474
-120,194,dOg,Dog
axaowfnqra,Dog,0.26,caT
DOG,fhrlseaqlb,-159,mnshityymj
-0.3955,xorhzdejzi,cAt,dOG
tzuuolsqnx,jddmdrpfdm,DOG,jpxfbflymj
-0.2295,numvsjwzdk,dOg,-346
-925,cAT,cAt,-0.135
CaT,1,CaT,sxwxcnhqzm
645,0.2655,caT,trvhaijbic
cvlgiiqnfy,kakcdqohph,dog,-0.3425
168,-572,cAT,kqovdhreoe
