mnjdeyjeoy,vfzisefuql,peT,ysgmzoulbc,miobebjmmo,jheyhbrghb
-0.054,0.2705,cAt,0.3675,cAt,254
ttmcrrqbqt,doG,cat,-0.4295,747,tsoqohgsdr
cAT,-256,Cat,-0.0905,antognowiq,stoffqkkcg
898,0.0825,vyupvnooru,0.173,-780,slqgeuijxm
onlvbqjsxo,849,xajshwipxi,-681,0.382,-470
278,cAT,-0.0925,-0.159,947,636
0.4265,941,oviwnhjkki,DOG,majozmclid,jhkgirgtlq
wscpzkincl,caT,CAT,aaobptdlmm,527,536
gqdrxnnnql,cAt,doG,-935,-0.2815,cat
0.1435,603,CAT,doG,0.445,391
nxgslgescv,doG,0.473,qhipshqftp,0.334,24
lskavwcbqs,-0.3845,CAT,acypvmvujn,cAt,84
-388,CAt,DOG,CAT,996,497
-719,0.069,dog,tiudzxqtvf,dOg,-0.41
0.4185,-0.4205,doG,0.2505,dOg,-911
-222,etkeolexkh,865,923,-0.317,-0.3535
0.3635,-218,pifurraxqm,0.4525,12,0.264
0.234,trnvrkwhnz,318,ftujrqirex,-524,CAT
-521,efmgjlkpvg,0.2075,144,pousgivyza,0.0405
caT,dapceomgpw,dog,efffvemfev,Cat,-726
-75,-409,cAt,-775,oazodimipc,piqpajtzoj
gjgrwdirfj,wcijenfjml,0.345,trukjtbydk,plxvxekwns,Dog
doG,0.0435,Dog,435,lodzytkmxw,-336
-641,dOG,dog,cat,-0.3895,-611
gtngjxypia,pmgsfsimxf,0.239,0.3545,lnmdfqxnwy,xewukipojo
miygwapkmp,333,caT,-0.2205,600,0.409
doG,cAT,-642,etnrqdfwpo,CaT,-0.08
-895,xdetbhllnr,-0.237,882,478,awpwjqgxme
wwsvaftyex,slbqtqzddp,-130,dOG,jwhztnbeza,0.272
DoG,0.0815,798,-0.452,0.334,190
402,doG,dog,ayljnfquqg,wtpwndcuae,-346
-546,DoG,cAt,0.0145,DoG,0.4605
-822,cAT,0.17,-0.2105,-0.306,rrxcwldlqg
0.287,144,caT,diqdfhgqpw,-508,-925
orgcyepldx,0.343,dog,-0.1475,0.0625,-192
-413,0.305,Cat,0.294,582,Dog
243,-541,Cat,-0.042,caT,-0.2065
-0.448,-186,-0.0695,-156,dOg,svnxvtunjf
cAT,sqcypoqxss,cat,dOG,cAT,erlkkqkiza
DoG,CaT,-585,cat,vidpnzdngx,bmdtgaxupr
0.004,675,Cat,0.1095,-544,0.1325
0.161,-642,cAT,xjeejnyvue,yegezhogzj,824
xcgtggzces,-460,DOg,896,0.0975,pooobkxxgq
-0.0295,-786,CAT,588,0.2475,0.276
sgkvbascgx,756,-249,hucbyxpypz,0.3395,-10
282,hralemjbly,cAt,-850,-0.479,hnjadnaxpl
egxirlrsjs,juhqqvivko,doG,xmdmdewsue,doG,CaT
CaT,961,DoG,ikhmqiaogg,-0.1785,dOG
cat,-0.3845,DOg,zbmctphzbs,DOG,-0.367
tybbbmyzbf,mkwpqupcic,-0.055,jppvxhqcgv,274,cphvaloogn
-49,cAt,DoG,-884,phyrrpbpaj,CAT
nncnpungrv,DoG,dOg,vpcmomfguf,doG,dOG
rgtgaixizq,dOG,DoG,cAT,-0.158,gkwqroxusy
77,565,-0.2525,-0.4245,-965,0.3875
-686,-24,caT,ctxcxehxwn,-0.394,vzfgvfpxjq
wojemhdxgn,-996,doG,cAt,790,-222
0.0675,-779,axdbtulxeo,kdboowizmd,0.052,-862
DOg,-22,dog,-0.315,-0.0915,mogixwnldh
cat,0.1915,0.3955,xecbcfopwj,Dog,byqoqpajum
-738,-745,CaT,gadupfbskv,cAt,-0.146
CaT,ixycqryyio,CaT,cAT,988,567
-178,oszqvfrsvy,DoG,cat,-0.0005,mvlpmrqtjr
mrocyifejy,-96,doG,xkdffzzqhd,Cat,CaT
470,-0.2115,Cat,135,kevfptmqja,-0.3755
ahmeiqbgmi,-0.2485,doG,833,znybynaptb,CAt
-807,-0.3655,dOg,egawqpozfp,-984,0.032
-775,qmakuiytac,-0.0155,-0.3815,997,72
843,-866,-0.4825,DOg,-937,mkznueabup
yavhvfcwoe,lqiuvyvbrs,DoG,-0.322,yclmplshcn,CAt
0.1815,dkxjxjaprl,37,-94,cat,ofqtxgotjk
-808,0.392,778,caT,-0.5,217
-0.2415,ftvberfbak,caT,zlzvzzgont,-768,swyotxyuul
372,ifokpbpvbf,CAt,321,-0.02,cAt
