txasntntio,dmuaidiwwt,PeT,cauxwlnuee,nejfsvoogq,kqbatbsavy
0.1065,-116,CaT,759,768,tqcxnmtlke
119,460,vualpfeafy,herqmjfjpc,627,bpsksbdhvm
qqboxitkuw,rnfatouyih,CaT,400,orwgedspab,-433
Dog,-160,cAT,0.2235,eaqtawexes,-0.1665
dsjqwknvqp,iefolyqajb,dog,sgevevgsmo,xnstopvfvn,ipeplivchb
DOG,672,jpzbbvbzjz,odoqlhqnfy,-310,-0.0535
-630,220,CAt,0.343,-590,-0.3655
rewdvvubjm,Cat,-771,muvzrowqlv,612,fjfornfmha
xkxrszvhyj,127,DOG,-0.232,-216,wdlbdtspza
nywycvmcpt,0.3375,caT,0.133,-468,-134
caT,cAT,565,dbzvnzrfoq,0.3585,uofkhzdilt
849,364,-236,cAt,-0.281,0.269
jgwuorcmpx,0.3105,dOG,869,0.401,tzzbhrabuf
0.1975,tefouztjad,cAt,dOg,0.424,cAt
-0.013,yyxfnxrbwz,cAt,0.475,slnacpycai,dog
0.002,-876,caT,-0.4535,cat,-27
778,0.482,caT,0.1965,dOG,0.4135
nxtvdctfvs,655,DOG,-410,cat,-434
DOG,uilpjlahuf,DOG,223,ddpdtjgpqe,-0.031
ieuxqhadfv,mpgyqzyidv,cAT,881,jkyxrmlott,-169
epplvtipcz,275,dog,-0.0075,-398,-0.226
0.498,0.38,dog,-447,60,749
otjydtnzsr,ecbgqpcfdo,Cat,zakyljgiua,-0.077,-0.1495
jfqdwtbhvx,jpzxkjhmvi,dOG,752,-436,0.289
-603,cat,Dog,rflteyfbnw,dOg,-0.0425
-684,-0.235,dOg,-460,800,-534
ldbgfiludz,dOg,cat,0.0955,-718,954
205,jxakdjcfcx,ooxjptvibe,ozkyzzeddu,-288,-0.456
272,doG,cAt,0.487,0.043,udfuhckhkv
