xwyglaacje,rdzyizfyer,uihyhfdyet,kblrsdmrhg,ycvrraguop,ewfwbdouzw
xrhgsvrfjz,0.369,Cat,lagviujknb,msmaskjtqz,dOG
sxvbthyaeh,-0.2205,ztqygvqjaa,-867,dOg,nzmgjfxfzr
-994,-0.23,-449,0.1765,uwsfhbaica,-50
CaT,391,gxwkaphvgo,0.3235,-815,0.101
571,jgsuspnfza,0.2225,dog,0.442,cwcvvjkteo
tacxnumzbv,dOG,243,-572,uycnnohagd,92
-623,catbnkojow,708,0.4345,cat,0.0155
mkuhoihcoa,-0.386,0.258,bntppgtlqf,-0.107,rzftgefnsj
bedmyvrtcl,639,ztmumercpm,971,-0.337,-154
DOg,-0.081,65,-0.305,-426,CAT
0.4825,CAT,vthvnpxsts,ydaakfuiww,0.3795,-253
272,-958,0.072,-0.456,-906,-177
cat,357,svghjmmvce,134,wgvixxmxip,-0.1865
679,xagkjhlfxb,-347,ornckkywiq,tbtdwprsjc,zbqvvrxujy
-834,0.002,CAT,554,-0.2795,obbsauppdl
497,ehsgnbopgw,326,542,-539,0.499
-657,-0.007,ebwtgaaomk,dog,DOg,caT
DOG,tcpfiukmap,caT,hfhnommubv,CAT,547
531,616,-0.0435,cat,doG,vsodqqsmoc
364,Dog,whbrzmbmen,CAT,lyrgafepnn,-597
wwrullinkn,dog,767,cat,0.107,Cat
574,-499,hermkbcnlx,188,doG,-0.468
440,mssetcjsyo,DoG,dog,0.4985,0.307
DOG,CaT,doG,-536,fixwkyrbak,chawonplls
-0.3765,781,708,clpngpcrls,-0.0255,cat
rrfmpjgnvs,0.266,-975,kqcglkcblb,cAt,fghnrzvoca
-0.3495,-0.484,doG,ssxkbvzkft,582,393
ubkrptnymj,pbcmmmhnfm,-0.3695,-0.2425,0.1815,dauqgdvryy
-0.013,rmtezkfhfo,-0.397,nwfrpunaae,-692,-184
qosajkoosm,DoG,467,-0.467,129,-0.4675
zgukjetrkl,0.405,-66,fudfvpizjr,-143,-0.2105
-161,okotwljulf,-420,avklnpauze,-0.268,dOG
CAt,nbajtpedde,-406,-561,joebonfewc,-0.4725
uvngleesmm,-773,cAT,dqkuhvbuyq,eltykiuesd,0.4915
dOG,-0.1845,jgouopzolb,-537,kcyyenmcuc,647
jqmutfyico,-31,-151,234,axcjirrasz,-500
281,0.223,dog,0.085,804,-0.3025
-919,doG,0.498,cAT,igmiptxqiq,hfsegxmord
45,-0.0005,-0.375,898,xxusfhtost,prsoqvprpn
364,-0.149,-0.379,658,-0.1275,cat
tmznpszngx,40,0.2355,366,-0.312,cAt
-0.466,-0.4565,446,-0.035,-0.211,-0.4135
803,caT,czzlbymzxw,-752,bczvrjnwut,222
