Pet,tqvrpyvcbm,vrbyijohqp
DOG,-723,-0.4575
cat,kdpxcmzmew,536
0.2445,0.15,0.1395
cat,xfmoigwkyb,tjiyyndxgq
cAt,0.2965,-0.006
-0.0195,0.455,kdffqywngr
CAt,CaT,-346
-0.2035,6,cat
dOg,ojjpofvtnx,miaqanjnue
CaT,-0.397,0.2295
dOG,0.139,719
doG,Dog,-423
cAt,-0.0015,-0.3875
-0.3675,-825,-381
dOG,DOg,CAt
dOG,duuklutjfy,-0.261
CaT,541,-0.449
cAT,-446,CaT
DOg,0.1625,doG
ukwynorsoc,160,hgjccodxma
cAt,-0.067,jhcxkjuczb
0.4705,dog,tiyzyloudm
0.181,iiirqxxbqh,0.351
51,-878,DOG
DoG,CAt,-0.2505
DOg,CAT,kbsregumqx
601,lwczsxstnz,kgumwtpasd
gicnroyksx,-283,ldeuoctbzt
cAt,dog,272
DoG,-587,hanwvnnghy
0.472,-697,0.2955
dOg,0.171,-659
dog,lskhborkqa,liytmtfbgv
DOG,679,594
jmtnmnmlqd,zxefpxxiru,207
Cat,-847,-159
DOG,DOg,-254
cAT,0.1065,cat
cAt,rkhxgocbfr,cat
dOG,qdbnmoaiuk,CAT
dOg,ktvoaxpgga,cAT
cat,mmnbhlhjid,jcieousmas
-0.2545,-890,zfvmolppgj
CaT,-0.464,-418
dOG,nfdacfmjkx,0.103
dog,328,sdllrbcbkg
xvprzxmxui,-916,cAT
CAt,800,DoG
dOG,zvouekdppr,CAT
DOG,-867,-363
pyzgxfqhrm,966,fcrjefderx
DoG,73,qibuejehsy
dog,caT,tykrtsnggs
dOG,jzaytouede,tykmyohaat
CAT,0.4815,0.3405
dOg,dog,jwojxkbhck
dOg,-494,0.3875
dog,DOg,wjahcmleid
doG,0.3495,-998
DOG,jqrmdxutas,-0.494
dOG,jfhghejwfs,0.4985
cAt,dOg,201
