zuphlxfrpt,yjndbtjrwg,tgochluenp,xzozvuqywx,tuxmvulwrs,xgygxrwwdr
folsyxjqom,0.4385,36,0.4155,-295,uglejcpata
-412,dog,-0.3255,0.273,DOg,-0.103
0.4395,362,tkjkfffgev,0.2055,DoG,645
0.0355,960,lhdugdeudq,-0.176,dOG,DOg
920,0.255,-557,qxccsuohad,-0.0335,dog
-728,xclszduecz,-26,slkccysgiy,dOG,pfjaiwnudm
-917,louytlpefd,-880,772,417,cAT
-234,353,0.083,gqkxrqqmlw,DOg,-28
0.48,xluwlcslpf,17,386,0.3355,449
qvxeepzfqb,DOG,cAT,zejnqmmuis,-615,-979
cat,937,0.0995,CAT,156,lmcuohuths
-521,505,0.367,846,-0.2075,pzozqmxiwt
-611,oenzlqiwfy,-643,-744,-0.038,464
Cat,DOG,847,0.307,caT,Cat
-0.215,wbnucftlro,nbschbedoc,214,740,CaT
0.258,-0.1425,caT,790,0.317,951
Cat,xzgddlrgjw,500,-0.061,DOG,535
0.207,830,hdmxtzyswx,494,otbxxqxjdm,DOg
156,-202,DOG,-374,-0.245,-0.2595
-0.429,841,DOG,pinymmsgxv,-356,DOg
-569,rqhezrpyot,dntmakupje,-301,667,jdhoibpymj
-731,0.43,0.049,DOg,0.3865,doG
-76,687,-797,0.462,regsbavrje,336
698,urahjoijyq,Dog,dOG,-585,0.45
540,-0.2495,503,-690,-162,-897
0.4395,171,-5,kzakjsqyvm,-0.255,-163
-0.2315,0.2345,dyndpnbpyj,doG,0.3485,doG
chfvlwzcjf,anngtuivmm,-283,596,0.3745,-0.3095
-0.305,-796,0.132,yffntbzltw,-0.4995,mpthlyozby
cvalzullzd,277,-220,0.022,dOg,grclaabdfx
0.4605,svukljmtrr,ubbiugrqca,cAT,DoG,0.3925
CAt,-0.3895,-0.172,-0.321,mncywzsnaw,729
lexxoeoiex,545,caT,-0.294,unhotapqpr,pjbjuokors
644,laifzbjgsk,0.239,0.3465,fbqemlkgxf,bvhwiurznb
gplhyyzcfc,-0.4735,tpqucsvufm,-465,vvjkunarrp,0.324
dejzfhqhzj,365,-81,vsntooyxud,0.109,xazqofxutg
-974,-0.1935,gfkpzcglxp,426,0.209,ogmcpogivm
qumoenmfwt,rofndnkpju,caT,cat,0.347,olrcrslgpg
-0.0405,kjidxafaha,0.227,dabbcatdjo,rcemmiewqj,0.313
coshoihzss,-0.0665,362,dhevuhurfu,0.153,-0.3745
CaT,0.497,-759,322,-816,0.018
0.158,469,88,cAt,lkjshphhtn,-0.3615
dbxilkwklu,0.4755,woabqhpfsr,-0.0875,0.2725,DOg
630,CAT,-0.313,-0.144,CAT,cvromuifjo
-521,zwskdhziis,CaT,Dog,fmjlakzqyz,gmhzjfgxbu
165,0.17,-0.2925,doG,ikzalujnrp,0.42
-581,79,-788,-0.4715,711,-0.063
-0.318,cAt,DoG,-312,mrhboxauor,ifjusmfind
xribxvmsul,0.207,-0.0785,CAt,-0.3755,Cat
ynjkcphsso,-516,-0.2145,rppwcyithe,0.0645,-938
0.4655,kxizcsvnus,ehexeiippq,461,DOg,990
tjdbsjxuqh,caT,0.3525,-714,cAt,eaknqjfppr
cat,oucilkwpzn,-0.3505,tzawpwbdwp,sfhuscaslv,296
-0.4115,CaT,-0.029,0.312,0.0465,doG
0.32,0.3745,0.21,0.4825,-0.3905,lrhxukgusx
txgufhgncj,-417,449,fjdoikwgwb,cAt,-0.252
935,aucppjggcd,hlkshoqhbl,-0.4115,0.3485,bsvwefybwu
cAt,-0.2775,kudybrqher,nuhtcelghc,0.228,419
scnchamdjr,-443,dOg,dOg,ubifoylzyt,doG
0.2725,-0.1585,634,DOg,syulwwzcbi,gjlsrrzgew
lyqlsasqkl,hjhssqwdxe,56,fwumjwhuhl,-0.086,0.033
145,-339,-0.248,CAt,wdfotlkqjy,doG
