nunxlawzdk,behsoddpxv,lritetwfok
-0.257,-0.375,742
-0.208,0.074,caT
CAT,0.045,DOG
ltiwkfrxiz,0.4795,lorwenoksu
328,-0.1555,zsoadolcbb
sytktwigix,-894,ovqbegtlku
-886,cat,-0.062
-533,DOG,0.0025
-0.057,-0.35,-640
wcclkxqvgm,lzteabioqr,nzzqurreko
-0.2935,0.3015,occrwbqzvi
-702,-0.258,manxlaopyl
768,338,-971
-185,gtpdfskwhx,0.3525
886,obmnufbjym,pfwkfktyox
21,0.141,-670
852,DoG,-0.421
doG,-761,caT
-0.1005,212,-0.317
jytkjoprkq,-0.2485,gpbqxpcrap
-623,Cat,-0.201
-0.2275,-0.27,-0.368
0.4295,0.382,-0.462
0.262,0.1605,fonnwxjloe
-7,0.118,afqcohosoz
idvoofeagh,0.2325,DOg
udjkrfaudr,-123,0.1685
oaolmfwtne,-0.194,dyzasstkij
cat,deeeyyeovg,dwmjmcmver
9,391,-0.009
cAt,tbvxxjjvhi,-0.159
ohmdllfzwh,396,-0.314
iqqrwyawtv,-799,-324
-154,-234,Dog
-390,-210,cat
134,Cat,bxlwguxacu
mqhrpvgvww,yqobnverbf,-0.2495
-706,531,-0.2575
llapalsqab,wpfhphymvl,510
fecursdlot,0.0685,-0.4965
-0.2075,alyclxyygd,myajeujwcv
-0.312,belhiwjfvm,DOG
neskxppgrm,675,-0.457
-0.371,941,432
veakpfltex,320,337
doG,-0.0735,xrecedbuyd
DOG,-813,tpvgzvduxh
-511,cvrufhwvmb,0.0185
CaT,tstvgjdkkb,axarqggnqv
790,-273,49
0.4155,shamfyabrf,628
cAt,DOG,sejaahdbww
303,bmyaepxmkl,883
0.2495,441,0.318
0.0295,DOg,808
0.1395,dog,-259
dOg,uumteisqpl,760
jnkewflrmm,ftqajflmuq,-436
cdmmzfasjq,-642,-708
-709,DoG,-0.337
-0.038,jnonubfbof,asrxfxwnzr
cat,973,-620
-0.327,xhqskwmpwm,0.1115
763,qobcujnpvt,DOG
150,-0.3185,rxxoqltobg
224,ncziqcujhs,awfgparmkt
-974,Cat,0.0105
Dog,-317,tlmhkzwxxv
-0.4375,-914,-0.4805
CAT,284,-0.3855
0.4625,-0.3345,-810
cat,rpcgsjunkj,Cat
0.0095,vujrcaxcus,671
-0.2355,504,0.311
isatciphqy,hmqefylzni,0.0375
aueluopllx,qulqjivttg,295
-536,-17,gdtkrxjzmo
npfdmhavic,-594,fxyiugdvwg
-581,-0.303,-0.0445
doG,139,0.1025
fmqwcdevos,-500,agejcetvvk
731,-0.47,-447
DoG,acgrzycxhq,-38
lkjhwqites,-0.0055,lmvjqmnujs
cqkyucnqoy,417,0.2965
hvwqbfgnrr,-0.429,0.341
yyyugovpmt,ximiqzhier,cycybltgzy
dOG,CaT,-513
-0.0945,-506,-9
esmzsrgdkz,CAT,rmygughgvw
ywmhnujyho,zbilmkdezn,xpfkkppamk
doG,-615,bvwtrldqyg
0.243,fcatsnkien,iuydudwlzq
-339,524,pxqiyztpid
0.195,0.0085,dog
500,yhkjqzfihi,809
0.261,zqjlzhrvvz,vzlkvnvyxc
