matalmdskq,mvvzmncihf,xshuabsnyz,tphxwoqatc,nybyzgmatz,hphfwqntdz
dOG,349,eivtuqgimc,-0.1725,zkcksambqz,0.067
lrhhzeznbf,gtalkiszpg,dzcfbpdcfx,-0.4485,0.231,-45
-0.173,0.445,0.0855,-0.2835,-0.3505,-48
-0.044,-540,zpjmfnagvw,-510,0.3865,189
-0.231,jziiapqnrr,868,435,0.1765,cAt
0.3115,stlkkmjzvk,0.03,Cat,wvyywtvrsx,975
dOG,-240,-796,cidlkyckpk,Cat,hskoxwfnkj
-194,-0.393,avrubyeatl,CAt,-0.171,dOG
81,doG,97,0.025,cAt,-765
-971,zpbzgdkbcf,-0.0665,-0.1375,ogfoyksvwg,Cat
cat,-0.4745,-0.173,0.3895,fasqupcgic,0.267
hjnfwaosnk,dOG,0.0,802,0.0165,-0.4615
xflgfvwdyq,443,pkbemzcyuj,826,-0.4015,CAt
0.3845,275,zdghdasmag,cat,flxziimtrd,-698
cAT,DOg,gfpgulxzou,915,-0.094,djuascayou
-0.3175,hvzkzybtgo,-0.372,321,-0.3905,802
ejtiekheap,80,357,0.382,-0.015,eydtlpxhlu
doG,Dog,0.0835,vqugzzgefo,ctcdqachdn,471
keqsavtipz,0.226,-429,ftcaonsasl,247,doG
quwypwriux,-0.4445,tmzrigmkab,-718,-0.0255,ofaoeifeal
doG,-809,doG,dOg,jpzllkedwe,uybkwldodr
doG,lgfvqnpgds,Dog,882,-0.1095,0.115
rbgklcgyar,lybszwjcxp,Dog,0.042,250,cAt
DoG,-0.1465,tdyedibpnu,dbtezyefst,nqyazrpytg,wmsyfqsunh
-0.115,-0.0925,dexpoaptza,448,0.4435,zharqdracf
qjsyxwkohz,845,116,0.29,tugipyhfqy,auvzyhlqmo
bkhxeolhcp,ahlxfdufgm,905,lmwrlfpwox,lpjkhjujsh,oodevwzmeq
hdjsdhstbz,bnxxrojfio,kowsihszpy,916,fzouotyrzv,dOG
iplivrweeu,113,0.429,-0.4735,DOG,0.401
cAT,qfnfruukel,sypunexyzw,CaT,letnkicrxq,-824
vdebhlvqum,-0.166,gxazrwjogf,-791,ssylvfbbsr,-726
doG,-385,btmwnrqlgl,DoG,minghnrjyg,ibuhpbqaxn
nbrljzyrva,0.1945,-500,tsscjcvwlx,0.449,-889
ktbhiprawv,655,foaqyonznd,-861,598,0.0715
DOG,-659,439,585,xxnacymmpz,sffmwfmlam
atmimtqhur,-166,-0.388,241,-0.4055,CAt
-0.1765,-710,uqnzeymexq,fknhbjlghx,-394,-514
800,adwsocuajr,416,-0.0475,-0.425,0.0655
ntogkiefzz,caT,uzmfpsaylc,-0.452,DoG,DoG
0.17,-928,doG,-0.3355,sbacvytved,DoG
yxsblvcvtx,-0.2625,-0.356,0.104,350,-895
252,-349,-974,0.2435,rsqkbxttzv,0.4725
yfpoprdwzw,epmgdajypr,223,uojqohrktx,grylrjxsyu,0.2295
soplnqktjn,819,DoG,-116,vhhpokcstb,DoG
0.1815,295,-960,-0.383,DOg,caT
npblghspxl,Dog,-0.395,299,654,wqmvwyevch
-839,fvdxxrxxlx,0.3955,0.336,bnaaupwcjz,hudnteemni
