ofeyknkpha,kliiozyamu,obimwhjymf,tbfecsvzfe,mzaakktait
554,0.387,0.392,-190,cat
-0.007,0.4105,-708,CAt,928
jxwfaurnfj,aedplybxln,xttfwsqisu,bghcyixbuz,DOG
38,zxvpfiugmy,438,915,734
612,hpnjklffbp,yrrkaxzmdh,ofofqoeywz,-0.2045
gdztysadzs,-0.011,gedyvufses,-0.121,azsrnohyhb
-0.26,cmkdrcpfuh,-0.364,cat,366
cAt,hfupozupwp,quhqkzqnyi,dwzlotwsed,354
skehpjopbj,vxsxypyqds,210,DoG,594
612,zmmhyxgejt,dOg,-949,-0.067
sxjjjzwfmy,rmaeckqlkm,cdpbxtpiks,771,cAT
0.2755,0.398,CAt,jwzxpructz,dOg
0.3445,-565,0.403,-582,caT
0.3175,-954,0.0285,cAT,nfyqurxsec
boqtoeverx,CAt,CAT,0.351,577
kwscyjjzzk,cAt,jlaheohccq,0.2705,rpskaxhxmx
dOG,-851,-383,-0.323,0.008
0.4955,-182,erneajcdfd,969,0.4605
-983,301,-777,ibwjrtgwcu,-699
0.249,-0.2715,-251,-0.2825,kucdkkcsqp
caT,ypghgqhhah,0.396,-0.0435,-0.082
juycmrqssg,CAT,-819,80,kvbacxxnpl
lnjyuvbekx,DoG,ddijcbjvnc,0.266,0.0535
-681,35,cAt,-647,-0.2
Dog,0.2385,ywiazrtivh,-0.3695,DOG
cAt,47,-96,egygexnrxs,379
-681,zrydeuyzli,-0.1075,zbpodsiumk,-0.347
0.458,-659,tbsyhbcgmy,xeaeuedstl,-0.2855
sysbrnnwyx,lgcyljbaoi,-115,jpvpptoyda,-0.114
CaT,rzvbpqplqy,-0.3285,-339,dupijfvdiz
jtvjbwxazs,-713,mxoohgqurg,-0.005,-850
pmwdsesotb,odholhmfze,-0.2245,-0.0365,947
-0.309,0.373,oapxgyciav,-199,-0.22
Cat,zqdasbjooy,Dog,-836,anzufrbsfz
cAT,rbfzmprioo,iccyzeojup,0.1275,-495
931,-861,cAT,dOG,quwpixlnma
0.0355,DoG,-304,DOg,0.1735
-0.171,wlgjbboohj,0.3215,-0.1085,-0.1845
529,zexdgtyjpf,0.227,pjmwwiayzp,caT
xokhpvznlh,-934,lwpekuyzny,jzeiqtdoqg,0.1855
393,27,949,0.4395,-839
0.112,0.4825,CAT,mzvsjipfgq,378
-0.4665,CAT,181,dOG,mfbcphjfqe
ujdjnuhdgz,-0.182,-930,-611,zwsmthnruz
ckutcpstcv,-574,xferptpfmb,izbruvrvwl,-797
zasqlluzai,834,-453,-0.098,rajpxhfvdc
