endxkcqvpg,iwvzdowfea,chmatyiudb,nvtxwzuxbg,ezikfzxsux,vxzqhsxylh,grzgkcuwjt
0.1645,138,-367,rzpbncisbu,0.212,sbmitrczaz,qzhgiezzcu
278,ktcutbabzz,ufiaicqsyy,-229,socdapyhcz,hyblwcpabb,-881
0.2035,ddnxrfyegt,551,0.1505,0.268,322,bgmuejeiar
0.188,0.424,CAT,26,0.1955,0.017,rsuspqnakr
xstekloepe,-91,dog,-747,0.446,yfbnbsbmnr,-471
aejfqftthu,CAT,exaprbmabo,luqqcjipzz,diaycmdxeh,-0.07,slwomofwzl
-0.3815,-0.4625,cAT,ywnfxyhgvk,-268,-0.396,porqjyejit
prlsjlmskc,0.345,wxsoeopjbb,hbntqhshqo,0.159,886,sfrftaukcv
-0.2365,0.4725,wnsdisxwtg,0.2225,158,doG,cAt
otnsaijyxm,doG,718,lvicgdbtyy,154,853,-981
-76,627,123,alpkxmrahh,0.279,-0.2375,-0.3815
0.1705,0.0245,894,DOG,757,-513,-0.249
-0.177,-0.4495,-0.351,0.149,pldqtdsqze,933,0.144
rwqgxnicfi,0.046,-0.357,fpyshszkiw,lzbupbsfdm,wvwojknxow,xkuaznjlyw
aoqngeljeq,0.3375,hgopkrrsfx,slhahwitgh,xddfcvrcpt,-0.196,-0.0835
0.0845,746,cAT,-930,0.119,kzubpbultc,294
0.071,0.0855,yrnnvctrty,0.1375,kopaoxrcwx,-0.0695,doG
gzsexobnbe,Cat,-0.1475,-0.295,-0.202,-974,lfzaatrhav
0.4035,-0.44,dog,-867,DOg,DOg,0.1815
qxdzsrblqn,gzsxjdcxpg,-0.3675,0.0105,0.316,diebhhplxm,0.331
-967,-0.1645,0.0945,-3,zytuxfbttd,gepudesjsp,hbxplwmjnb
738,944,-6,0.299,-0.0305,0.1885,721
0.0115,biimiodpfl,971,131,631,Cat,piiataaphl
-116,-0.489,vmobhivjic,-60,wsmlmorxbp,-0.166,-0.019
380,-633,dOg,626,754,jqemwwxvsw,-0.222
-0.1295,0.128,-0.025,-592,-0.199,-776,-741
988,gljsomugdb,dOg,-151,-0.295,Dog,-0.176
0.186,gbudmqmnwu,-796,-976,DOG,0.1265,pkccwnfwjg
-0.348,0.357,48,bagyutsadp,-583,zoownnllus,906
0.0195,-400,-0.1845,358,erhdvuejdx,-0.4355,0.3365
hwgehdqbqo,sxljxuhfur,-616,0.0375,-0.0035,dOG,-0.1945
0.131,0.453,0.027,296,ivzycsjhly,ctavbepcng,uubqjhfsfx
wyaonadstp,-0.465,fbogsoacbe,-0.028,433,-0.221,-753
dmohrxoptf,vmzqlglbcq,0.3695,hubejyocsd,Dog,DOG,-439
-263,-122,0.12,-0.117,dOg,-866,184
-191,-0.352,-621,71,cAt,-0.1675,dOg
0.322,fqjojnvphv,doG,0.47,lwmlpjrrdq,DOg,CAt
660,241,0.3435,gzqfqnvilj,gyzwqvhtcx,lskphuaynq,848
-0.0895,mibxlajjse,-132,btiwoyxzoz,hqelwpximo,-0.0475,914
