aatznsbgkc,xcwuhrnsqg,gqxhtfwjcn,yovvpngbpd,xzopotypcj,keughmqlqs
dbvlosvhla,0.1665,0.35,542,fsruwoidkw,wklsxgidlt
-342,-772,-0.3625,ppbzuswnhb,CAt,0.275
592,Cat,697,-473,rmorivrapd,cAt
Cat,qumifdbrsz,-0.043,-0.2145,cqdsdzrvuh,-795
-0.0725,DoG,-0.242,487,790,-0.3885
0.0395,569,-0.3885,104,0.0005,caT
0.14,-734,-0.33,Dog,-0.0945,883
pfyavzacue,zfbxnlfvmq,879,CAt,ykeussrzcw,mimwlfuelb
-0.314,-0.3395,0.2025,blimhovxax,hjobunjloy,-629
dcjtyxapfl,-0.3995,686,dOg,-628,zrmajpldzo
-0.154,mewlcxvxxu,-994,-252,doG,-322
DOg,0.215,iuhvikpeqd,Cat,mxctzyahgg,0.3165
-449,eqxesihnsx,566,0.1915,lxutzggwyo,icirolbiyu
618,213,0.1805,862,-211,DOG
Dog,puyjtwfzag,xzeeesjccn,-0.188,-919,Cat
-154,dOG,gmvzonaega,-209,gysuyvcjrz,-0.244
720,0.3405,nhyqmseczm,39,xjjpcqfmje,cat
-863,DOg,2,avsvpfblgu,-0.4955,gufrfukdnz
235,0.144,caT,ynlgizfgep,CaT,dog
0.3595,0.0515,lfccdvaqdm,dog,dplwzphoip,-0.159
zupqsbsbcf,400,-877,739,-0.433,cAT
-0.2335,-0.086,-0.281,0.3625,-0.433,-765
-0.2025,-0.2545,DoG,-253,-0.14,-873
zmwfqdnxmz,DOg,CAT,665,0.0475,xdexgyogzq
dOg,xofhdxdyzs,cat,axnkkpgquq,ciriimlfhr,0.2785
0.077,-0.464,covgxsymbo,-0.172,-203,zwcsiikoxu
doG,DOG,-17,-0.111,DoG,-944
-0.037,hpxprpgugn,123,744,wbfabcpjmz,299
-901,gmgskmrwod,0.362,truluwuyqs,-0.0505,uilcfbfqin
0.3475,-162,-668,-738,CAT,-0.2205
lynqnypeun,0.191,-46,dog,-548,0.1215
206,idhypfjqvn,-0.216,0.126,0.09,-0.001
203,-0.1315,-777,klusvcfknh,cqcspahvof,DOG
CAT,-0.0115,-251,472,0.224,vzeddmtmom
-0.382,Dog,0.2355,257,fgsajcwgom,-282
698,-0.4385,qqiserokre,-0.2125,rrteelswrx,-576
hziklznjqb,154,940,pqqavivxoj,0.018,wmmqqptktv
-0.402,-319,-0.4285,-780,vuirckytjz,-0.2985
0.072,-0.009,-0.4145,czhpbmfaba,0.0725,0.466
-272,519,wrrmfingwy,DoG,54,ajsgdhonxp
-0.017,-659,DoG,825,zvfgbgdosz,-0.4175
DoG,tcvzpazqlt,0.446,-0.357,-0.088,-5
czorwcaywc,506,0.487,-12,0.3955,CAT
cAt,DOg,0.276,cAT,-0.243,-216
-0.496,czmgtohicf,Dog,-218,-779,cAt
CAT,-0.435,-457,hdfmjpjljt,0.3985,859
